DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,BE,22,BE10,22,3,6,1,100,NA,1,1,5
2013,BE,28,BE10,28,1,6,2,374,NA,1,1,5
2013,BE,37,BE10,37,3,5,1,605.5,NA,2,1,3
2013,BE,43,BE10,43,3,3,1,45.66,NA,1,1,4
2013,BE,50,BE10,50,1,6,1,427.82,NA,1,1,6
2013,BE,54,BE10,54,2,4,1,620,NA,1,1,3
2013,BE,66,BE10,66,3,6,1,879,NA,1,1,6
2013,BE,74,BE10,74,1,4,1,1035,NA,1,1,3
2013,BE,77,BE10,77,2,6,1,335.5,NA,1,1,4
2013,BE,79,BE10,79,2,6,1,887.17,NA,1,2,5
2013,BE,83,BE10,83,1,6,1,723.78,248,1,1,4
2013,BE,88,BE10,88,2,3,1,624.66,NA,1,2,5
2013,BE,111,BE10,111,4,4,1,259.5,NA,1,1,5
2013,BE,115,BE10,115,2,6,1,427.82,NA,1,1,4
2013,BE,143,BE10,143,4,6,1,462.13,599,1,1,5
2013,BE,147,BE10,147,3,6,1,478.2,NA,1,1,4
2013,BE,156,BE10,156,2,5,1,278.17,700,1,1,4
2013,BE,160,BE10,160,2,2,1,887.17,NA,1,1,5
2013,BE,176,BE10,176,1,4,1,538.17,991,1,1,1
2013,BE,189,BE10,189,1,5,1,330.56,NA,1,1,3
2013,BE,224,BE10,224,1,6,1,223,NA,1,1,2
2013,BE,244,BE10,244,2,6,1,287.28,NA,1,1,4
2013,BE,280,BE10,280,3,3,1,518.18,519,1,1,1
2013,BE,300,BE10,300,3,4,2,766.24,NA,1,1,4
2013,BE,303,BE10,303,1,4,1,471,NA,2,1,5
2013,BE,315,BE10,315,1,3,1,223,NA,1,1,2
2013,BE,319,BE10,319,1,6,1,458,939,1,1,5
2013,BE,348,BE10,348,1,4,1,917.85,750,1,2,1
2013,BE,351,BE10,351,2,6,1,1052.49,NA,1,1,5
2013,BE,360,BE10,360,1,3,1,834.07,NA,1,1,4
2013,BE,370,BE10,370,1,4,1,223,NA,1,1,4
2013,BE,375,BE10,375,3,6,1,223,NA,1,1,6
2013,BE,402,BE10,402,1,6,1,946,NA,1,1,2
2013,BE,410,BE10,410,4,6,1,435.76,NA,1,1,5
2013,BE,412,BE10,412,2,4,2,954,NA,1,1,6
2013,BE,415,BE10,415,2,5,1,355.73,NA,1,1,1
2013,BE,438,BE10,438,1,6,1,390.62,NA,1,1,5
2013,BE,444,BE10,444,3,4,1,470.26,330,1,1,2
2013,BE,506,BE10,506,3,6,1,376.4,1554.59,1,1,5
2013,BE,520,BE10,520,2,5,1,246.5,443,1,1,5
2013,BE,521,BE10,521,3,4,1,284.75,NA,1,1,5
2013,BE,533,BE10,533,1,3,1,575.89,NA,1,1,1
2013,BE,546,BE10,546,3,6,1,598.61,671.13,1,2,5
2013,BE,557,BE10,557,3,5,1,376.4,NA,1,2,3
2013,BE,583,BE10,583,3,6,1,1191.07,NA,1,2,4
2013,BE,587,BE10,587,3,6,1,666.69,NA,1,1,6
2013,BE,591,BE10,591,2,5,1,246.79,NA,1,1,3
2013,BE,595,BE10,595,1,6,2,505.81,738.42,1,2,3
2013,BE,597,BE10,597,1,4,1,355.73,448.7,1,2,4
2013,BE,610,BE10,610,1,5,1,688,NA,1,1,6
2013,BE,639,BE10,639,1,6,1,741.01,NA,2,1,5
2013,BE,652,BE10,652,1,6,1,468.39,NA,1,1,5
2013,BE,656,BE10,656,2,4,1,629.74,NA,1,1,4
2013,BE,662,BE10,662,3,4,1,1215,1217,1,1,3
2013,BE,667,BE10,667,1,4,1,338.82,NA,1,1,3
2013,BE,708,BE10,708,1,6,1,345.67,NA,1,1,4
2013,BE,713,BE10,713,1,6,1,390.62,NA,1,1,4
2013,BE,752,BE10,752,3,6,1,659.29,NA,1,1,2
2013,BE,756,BE10,756,3,5,1,688,NA,1,1,4
2013,BE,774,BE10,774,5,5,1,723.78,NA,1,1,3
2013,BE,814,BE10,814,3,5,1,268.42,NA,1,1,4
2013,BE,818,BE10,818,1,6,1,696.68,NA,1,1,6
2013,BE,823,BE10,823,1,6,1,860,220,1,2,4
2013,BE,850,BE10,850,1,6,1,1258.16,820,2,1,3
2013,BE,863,BE10,863,1,3,2,229.92,NA,1,1,1
2013,BE,866,BE10,866,1,6,1,774.67,NA,1,1,6
2013,BE,887,BE10,887,3,4,1,1014.13,NA,1,2,4
2013,BE,907,BE10,907,1,4,1,326.5,NA,1,1,4
2013,BE,908,BE10,908,2,5,1,259.51,NA,1,1,6
2013,BE,911,BE10,911,2,5,1,316.25,360,1,1,1
2013,BE,917,BE10,917,1,5,1,580,1600,1,1,2
2013,BE,928,BE10,928,2,3,1,622.23,NA,1,1,5
2013,BE,939,BE10,939,3,6,1,373.43,NA,1,1,4
2013,BE,956,BE10,956,1,6,1,486.16,NA,1,1,4
2013,BE,969,BE10,969,1,4,1,774.67,NA,1,1,6
2013,BE,979,BE10,979,3,5,1,878,350,1,1,5
2013,BE,987,BE10,987,2,6,2,478.2,NA,1,1,4
2013,BE,993,BE10,993,3,6,1,620,381,1,1,6
2013,BE,998,BE10,998,3,6,1,721.55,NA,1,1,3
2013,BE,1023,BE10,1023,2,3,1,761.7,NA,1,1,1
2013,BE,1029,BE10,1029,1,6,1,487.01,NA,1,1,6
2013,BE,1030,BE10,1030,2,6,1,412.28,561,1,1,3
2013,BE,1056,BE10,1056,2,6,1,887.17,743.03,1,1,5
2013,BE,1062,BE10,1062,2,6,1,449.33,NA,1,1,5
2013,BE,1069,BE10,1069,5,4,1,351.5,NA,1,1,5
2013,BE,1071,BE10,1071,1,6,1,696.68,NA,1,1,3
2013,BE,1091,BE10,1091,1,6,1,462.83,750,1,1,5
2013,BE,1103,BE10,1103,3,6,1,223,NA,1,1,2
2013,BE,1176,BE10,1176,2,5,2,560,NA,1,2,3
2013,BE,1228,BE10,1228,1,4,1,756.82,NA,1,1,4
2013,BE,1233,BE10,1233,2,6,1,434.75,620,1,1,1
2013,BE,1248,BE10,1248,1,4,1,338.04,NA,1,1,4
2013,BE,1267,BE10,1267,2,6,1,861.52,958,1,1,4
2013,BE,1270,BE10,1270,2,6,1,486.34,828,2,2,4
2013,BE,1309,BE10,1309,2,4,1,622,NA,1,2,4
2013,BE,1321,BE10,1321,2,5,1,365.33,NA,1,1,2
2013,BE,1366,BE10,1366,2,4,1,174,600,1,2,5
2013,BE,1369,BE10,1369,2,5,1,519.42,NA,1,1,5
2013,BE,1384,BE10,1384,1,6,1,783.88,NA,1,1,4
2013,BE,1386,BE10,1386,3,6,1,666.69,NA,1,1,6
2013,BE,1418,BE10,1418,1,6,1,817.57,NA,1,1,5
2013,BE,1419,BE10,1419,2,6,1,666.69,NA,1,1,4
2013,BE,1432,BE10,1432,1,6,1,313.33,425,1,1,5
2013,BE,1433,BE10,1433,2,5,1,605.5,NA,1,1,4
2013,BE,1436,BE10,1436,2,5,1,219.73,NA,1,2,3
2013,BE,1451,BE10,1451,1,6,1,899.16,NA,1,1,6
2013,BE,1454,BE10,1454,1,6,1,942.58,500,1,1,6
2013,BE,1459,BE10,1459,2,6,1,259.51,1041,1,1,3
2013,BE,1460,BE10,1460,4,6,1,100,NA,1,1,3
2013,BE,1480,BE10,1480,2,5,1,471.87,530,1,1,5
2013,BE,1494,BE10,1494,2,4,1,486.16,NA,1,2,3
2013,BE,1501,BE10,1501,4,4,1,678.64,2200,1,1,6
2013,BE,1508,BE10,1508,2,6,1,507.97,NA,1,1,4
2013,BE,1510,BE10,1510,3,5,1,569,NA,1,1,3
2013,BE,1524,BE10,1524,1,3,1,396.82,NA,1,1,2
2013,BE,1527,BE10,1527,2,4,1,633,NA,1,1,2
2013,BE,1531,BE10,1531,4,6,1,317.75,465,1,1,4
2013,BE,1556,BE10,1556,1,5,1,878,580,1,1,3
2013,BE,1575,BE10,1575,1,6,1,977,NA,1,2,2
2013,BE,1580,BE10,1580,1,6,1,486.16,NA,1,1,3
2013,BE,1581,BE10,1581,1,6,1,666.69,803,1,1,4
2013,BE,1603,BE10,1603,5,3,1,295,NA,1,2,3
2013,BE,1629,BE10,1629,4,6,1,376.75,0,1,2,6
2013,BE,1669,BE10,1669,4,4,1,371.17,568,2,1,4
2013,BE,1676,BE10,1676,2,6,1,315.88,1400,1,2,1
2013,BE,1698,BE10,1698,2,5,1,984,400,1,2,2
2013,BE,1699,BE10,1699,2,4,1,519.33,NA,1,1,6
2013,BE,1706,BE10,1706,4,6,1,207.4,NA,1,1,5
2013,BE,1710,BE10,1710,2,6,1,351.05,NA,1,1,6
2013,BE,1739,BE10,1739,2,6,1,380.67,NA,1,1,5
2013,BE,1764,BE10,1764,3,6,1,717.1,NA,1,1,4
2013,BE,1771,BE10,1771,1,6,2,836.72,NA,1,1,3
2013,BE,1804,BE10,1804,1,6,1,138,NA,1,1,3
2013,BE,1809,BE10,1809,2,3,1,315,NA,1,1,6
2013,BE,1813,BE10,1813,3,5,1,533.45,NA,1,1,3
2013,BE,1819,BE10,1819,1,6,1,899.16,515,1,1,5
2013,BE,1820,BE10,1820,2,6,1,326.46,NA,1,1,4
2013,BE,1827,BE10,1827,5,6,1,621.25,NA,1,1,5
2013,BE,1843,BE10,1843,1,3,2,437.15,NA,2,2,3
2013,BE,1851,BE10,1851,4,6,2,305.39,NA,1,1,2
2013,BE,1855,BE10,1855,1,6,1,275.41,NA,1,1,4
2013,BE,1869,BE10,1869,4,6,1,334.95,790,1,2,5
2013,BE,1877,BE10,1877,3,6,1,420,NA,1,2,1
2013,BE,1892,BE10,1892,2,6,1,587,NA,1,1,4
2013,BE,1897,BE10,1897,3,6,2,397,NA,1,1,2
2013,BE,1917,BE10,1917,3,3,1,167.37,NA,1,1,3
2013,BE,1926,BE10,1926,3,6,1,407.53,NA,1,1,3
2013,BE,1937,BE10,1937,1,6,1,1158.39,NA,1,1,1
2013,BE,1943,BE10,1943,2,6,1,783.88,NA,1,1,3
2013,BE,1945,BE10,1945,2,4,1,590,NA,1,1,2
2013,BE,1948,BE10,1948,2,6,1,773.98,NA,1,1,5
2013,BE,1986,BE10,1986,1,4,1,621.25,NA,1,1,5
2013,BE,1990,BE10,1990,1,5,1,195,473.68,1,1,2
2013,BE,1993,BE10,1993,2,6,1,1044.55,805.66,1,2,4
2013,BE,2004,BE10,2004,1,4,1,1023.66,NA,1,2,5
2013,BE,2032,BE10,2032,1,1,1,687.73,NA,1,1,5
2013,BE,2057,BE10,2057,1,3,1,397.64,NA,1,1,2
2013,BE,2064,BE10,2064,1,5,1,714.17,NA,1,1,4
2013,BE,2070,BE10,2070,2,5,1,1044.55,1200,1,1,2
2013,BE,2071,BE10,2071,5,4,1,181.17,1600,1,1,4
2013,BE,2075,BE10,2075,4,6,1,325.05,NA,1,1,5
2013,BE,2096,BE10,2096,3,6,1,227.17,NA,1,1,6
2013,BE,2102,BE10,2102,3,3,1,1025.28,NA,1,2,2
2013,BE,2104,BE10,2104,2,5,1,798,NA,1,2,3
2013,BE,2113,BE10,2113,2,5,1,449,NA,1,1,5
2013,BE,2132,BE10,2132,2,5,1,767.3,NA,2,2,2
2013,BE,2143,BE10,2143,2,4,1,427.82,NA,1,1,4
2013,BE,2170,BE10,2170,2,6,1,696.68,167,1,1,3
2013,BE,2174,BE10,2174,4,5,1,436.83,205,1,1,4
2013,BE,2183,BE10,2183,1,6,1,461.04,NA,1,2,2
2013,BE,2185,BE10,2185,1,6,2,351.05,NA,1,1,5
2013,BE,2190,BE10,2190,1,5,1,659.29,NA,1,1,2
2013,BE,2192,BE10,2192,2,4,1,425.42,680,1,2,4
2013,BE,2196,BE10,2196,3,6,1,523.72,680,1,1,2
2013,BE,2207,BE10,2207,2,6,1,688.32,NA,1,1,2
2013,BE,2221,BE10,2221,2,6,1,624.66,NA,1,1,5
2013,BE,2233,BE10,2233,1,1,1,440.09,NA,1,1,5
2013,BE,2243,BE10,2243,2,4,1,548.28,NA,2,1,3
2013,BE,2268,BE10,2268,4,6,1,1607,NA,1,1,4
2013,BE,2276,BE10,2276,1,6,1,779.38,NA,1,1,5
2013,BE,2277,BE10,2277,2,6,2,233.92,NA,2,1,5
2013,BE,2291,BE10,2291,1,4,1,427.82,803,1,1,4
2013,BE,2292,BE10,2292,1,5,1,386.42,NA,2,1,6
2013,BE,2299,BE10,2299,2,6,2,271.5,NA,2,1,4
2013,BE,2314,BE10,2314,1,5,1,405.86,NA,1,1,4
2013,BE,2318,BE10,2318,2,5,1,617.72,NA,1,1,3
2013,BE,2321,BE10,2321,1,6,1,465.5,1350,1,1,5
