DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,BG,31,BG31,31,1,3,2,50.11,NA,2,2,4
2013,BG,41,BG31,41,1,3,2,54.2,NA,1,2,2
2013,BG,53,BG31,53,1,2,1,86.92,NA,2,2,1
2013,BG,63,BG31,63,1,3,2,196.34,NA,1,1,3
2013,BG,72,BG31,72,1,2,1,112.49,NA,2,2,1
2013,BG,79,BG31,79,1,3,2,88.97,120.16,2,1,1
2013,BG,96,BG31,96,1,3,1,56.24,NA,1,2,2
2013,BG,107,BG31,107,1,2,1,71.58,NA,2,2,1
2013,BG,113,BG31,113,5,5,2,85.39,NA,1,2,1
2013,BG,115,BG31,115,1,2,1,137.03,NA,1,2,1
2013,BG,208,BG31,208,1,2,1,51.13,818.08,1,2,1
2013,BG,230,BG31,230,1,3,2,90.5,NA,2,1,1
2013,BG,328,BG31,328,1,2,2,92.03,NA,2,1,1
2013,BG,355,BG31,355,1,3,1,190.71,NA,1,2,2
2013,BG,356,BG31,356,1,2,1,143.16,NA,1,1,5
2013,BG,405,BG31,405,1,4,1,123.22,NA,2,1,3
2013,BG,432,BG31,432,1,3,2,326.21,NA,2,2,2
2013,BG,442,BG31,442,1,3,2,166.17,NA,1,2,4
2013,BG,460,BG31,460,1,2,2,68,NA,1,2,2
2013,BG,462,BG31,462,5,4,1,59.31,NA,2,1,3
2013,BG,504,BG31,504,1,3,1,44.99,NA,2,2,1
2013,BG,515,BG31,515,1,4,1,272.01,NA,2,1,2
2013,BG,540,BG31,540,2,2,1,138.05,NA,2,2,3
2013,BG,546,BG31,546,1,3,1,194.29,NA,1,2,2
2013,BG,598,BG31,598,1,4,2,227.53,NA,2,2,4
2013,BG,603,BG31,603,1,4,2,4.09,NA,2,2,1
2013,BG,641,BG31,641,1,4,1,173.84,NA,1,2,2
2013,BG,741,BG31,741,1,3,2,51.13,NA,2,1,2
2013,BG,758,BG31,758,1,3,1,81.81,NA,1,1,1
2013,BG,787,BG31,787,1,1,1,86.92,NA,2,2,2
2013,BG,846,BG31,846,1,3,2,65.96,NA,2,1,1
2013,BG,861,BG31,861,1,3,2,66.47,NA,1,2,3
2013,BG,865,BG31,865,1,2,1,92.03,NA,2,2,1
2013,BG,866,BG31,866,1,3,1,123.22,NA,1,2,3
2013,BG,870,BG31,870,5,4,1,117.09,NA,1,2,3
2013,BG,931,BG31,931,1,3,2,97.15,NA,2,2,4
2013,BG,1024,BG31,1024,5,2,2,77.21,NA,2,1,4
2013,BG,1044,BG31,1044,1,3,1,91.01,NA,2,1,2
2013,BG,1095,BG31,1095,1,2,2,74.14,NA,1,1,1
2013,BG,1098,BG31,1098,1,2,2,58.17,NA,1,2,3
2013,BG,1127,BG31,1127,1,4,2,84.36,NA,2,1,1
2013,BG,1190,BG31,1190,1,4,2,181.51,NA,1,2,1
2013,BG,1199,BG31,1199,1,3,1,158.5,NA,2,2,1
2013,BG,1201,BG31,1201,1,3,1,30.68,NA,1,2,2
2013,BG,1247,BG31,1247,1,4,1,57.27,NA,2,2,3
2013,BG,1252,BG31,1252,1,3,2,76.69,NA,1,1,3
2013,BG,1258,BG31,1258,1,4,2,53.69,NA,1,2,3
2013,BG,1317,BG31,1317,1,6,2,196.34,NA,2,1,4
2013,BG,1332,BG31,1332,1,5,1,135.07,NA,1,1,4
2013,BG,1337,BG31,1337,1,4,1,86.92,NA,2,2,2
2013,BG,1340,BG31,1340,1,2,1,133.45,NA,1,2,1
2013,BG,1379,BG31,1379,1,3,1,122.71,NA,1,1,1
2013,BG,1411,BG31,1411,1,3,2,89.99,NA,1,2,3
2013,BG,1432,BG31,1432,3,3,1,326.21,NA,1,1,2
2013,BG,1441,BG31,1441,3,2,1,188.16,NA,1,2,1
2013,BG,1442,BG31,1442,1,3,1,208.1,NA,2,1,1
2013,BG,1476,BG31,1476,1,2,2,8.69,NA,1,2,2
2013,BG,1497,BG31,1497,1,2,1,80.79,NA,2,2,1
2013,BG,1511,BG31,1511,4,2,2,68.51,NA,1,2,3
2013,BG,1521,BG31,1521,1,3,1,38.35,NA,1,2,2
2013,BG,1555,BG31,1555,1,3,1,107.37,NA,2,2,2
2013,BG,1566,BG31,1566,1,3,2,148.28,NA,2,2,1
2013,BG,1583,BG31,1583,1,2,2,81.81,NA,1,2,3
2013,BG,1618,BG31,1618,5,2,1,63.91,NA,2,2,3
2013,BG,1700,BG31,1700,1,2,2,85.9,NA,2,2,2
2013,BG,1784,BG31,1784,1,6,1,68.51,NA,1,1,4
2013,BG,1793,BG31,1793,5,2,1,85.47,NA,2,1,1
2013,BG,1844,BG31,1844,1,2,1,127.82,194.29,1,1,4
2013,BG,1905,BG31,1905,5,2,1,91.61,NA,1,2,2
2013,BG,1920,BG31,1920,1,1,1,50.11,NA,2,2,1
2013,BG,1981,BG31,1981,5,2,1,109.93,NA,2,2,4
2013,BG,1987,BG31,1987,1,3,1,93.14,NA,2,2,1
2013,BG,2002,BG31,2002,1,4,2,57.78,NA,1,1,4
2013,BG,2015,BG31,2015,1,2,1,265.88,NA,2,2,1
2013,BG,2053,BG31,2053,5,1,1,431.93,NA,1,2,2
2013,BG,2069,BG31,2069,1,5,2,84.88,NA,2,1,3
2013,BG,2085,BG31,2085,1,2,1,143.16,NA,2,1,1
2013,BG,2102,BG31,2102,1,4,1,49.6,NA,1,2,3
2013,BG,2112,BG31,2112,1,3,2,74.14,NA,1,2,2
2013,BG,2127,BG31,2127,1,3,1,117.6,NA,2,2,1
2013,BG,2158,BG31,2158,1,6,2,135.49,NA,1,2,2
2013,BG,2162,BG31,2162,1,2,2,424.38,NA,1,2,1
2013,BG,2203,BG31,2203,1,2,1,141.72,NA,1,2,3
2013,BG,2226,BG31,2226,1,3,1,92.03,NA,2,2,3
2013,BG,2233,BG31,2233,1,2,2,39.88,NA,1,1,1
2013,BG,2285,BG31,2285,1,2,1,76.69,NA,1,1,3
2013,BG,2290,BG31,2290,1,4,2,77.72,NA,1,2,1
2013,BG,2318,BG31,2318,1,2,2,212.19,NA,1,1,3
2013,BG,2355,BG31,2355,1,3,1,127.31,NA,1,1,5
2013,BG,2451,BG31,2451,1,4,1,117.6,NA,1,1,1
2013,BG,2464,BG31,2464,1,1,2,124.76,153.39,2,2,4
2013,BG,2482,BG31,2482,1,4,1,158.5,NA,2,2,1
2013,BG,2486,BG31,2486,1,1,2,141.63,NA,2,2,1
2013,BG,2511,BG31,2511,1,4,1,17.9,NA,1,1,5
2013,BG,2551,BG31,2551,1,3,1,120.16,NA,2,2,4
2013,BG,2558,BG31,2558,1,1,1,170.26,NA,1,2,3
2013,BG,2562,BG31,2562,5,2,1,58.8,NA,2,2,4
2013,BG,2649,BG31,2649,5,2,2,71.07,NA,2,1,1
2013,BG,2662,BG31,2662,1,2,2,56.75,NA,2,2,1
2013,BG,2672,BG31,2672,1,2,1,153.39,NA,1,1,4
2013,BG,2704,BG31,2704,1,4,1,44.48,NA,1,2,2
2013,BG,2737,BG31,2737,1,3,2,172.82,NA,2,1,1
2013,BG,2739,BG31,2739,1,2,1,183.56,NA,1,1,3
2013,BG,2790,BG31,2790,1,2,1,20.96,NA,2,1,2
2013,BG,2820,BG31,2820,1,2,1,62.89,NA,2,1,3
2013,BG,2828,BG31,2828,3,3,1,196.34,NA,1,2,1
2013,BG,2870,BG31,2870,1,4,2,32.21,NA,1,2,2
2013,BG,2880,BG31,2880,1,3,1,143.16,NA,2,2,3
2013,BG,2898,BG31,2898,2,4,2,143.16,NA,1,2,3
2013,BG,2905,BG31,2905,1,3,2,63.91,NA,1,1,4
2013,BG,2961,BG31,2961,1,2,1,157.86,NA,1,2,2
2013,BG,2984,BG31,2984,1,2,1,48.57,NA,1,2,1
2013,BG,3001,BG31,3001,1,1,2,82.83,NA,2,2,1
2013,BG,3006,BG31,3006,4,6,1,84.88,NA,2,2,1
2013,BG,3019,BG31,3019,5,3,1,258.21,NA,1,2,5
2013,BG,3038,BG31,3038,5,5,2,66.47,NA,2,2,1
2013,BG,3048,BG31,3048,1,4,2,112.49,NA,1,2,3
2013,BG,3049,BG31,3049,1,2,1,47.04,NA,1,1,5
2013,BG,3094,BG31,3094,5,5,1,104.82,NA,2,2,1
2013,BG,3165,BG31,3165,1,3,1,56.24,NA,2,1,3
2013,BG,3168,BG31,3168,1,4,1,148.28,NA,1,1,4
2013,BG,3174,BG31,3174,1,3,1,99.19,NA,1,1,1
2013,BG,3179,BG31,3179,1,3,1,76.69,NA,2,1,1
2013,BG,3227,BG31,3227,5,4,1,108.91,NA,2,2,1
2013,BG,3229,BG31,3229,1,6,2,122.71,NA,1,2,1
2013,BG,3265,BG31,3265,1,5,1,63.91,NA,1,2,2
2013,BG,3308,BG31,3308,1,2,1,74.14,NA,2,2,2
2013,BG,3330,BG31,3330,4,3,1,117.6,NA,2,2,3
2013,BG,3347,BG31,3347,1,6,1,125.78,NA,2,2,1
2013,BG,3354,BG31,3354,1,2,2,136.01,NA,2,2,2
2013,BG,3357,BG31,3357,1,5,1,53.18,NA,1,2,1
2013,BG,3394,BG31,3394,1,2,1,62.38,NA,2,2,1
2013,BG,3439,BG31,3439,1,5,2,69.03,NA,1,1,2
2013,BG,3444,BG31,3444,1,2,1,133.45,NA,1,2,2
2013,BG,3490,BG31,3490,5,2,2,100.73,NA,2,1,2
2013,BG,3509,BG31,3509,1,2,1,114.45,NA,1,1,3
2013,BG,3521,BG31,3521,5,2,2,158.5,NA,1,2,3
2013,BG,3525,BG31,3525,1,2,1,114.45,NA,1,1,4
2013,BG,3526,BG31,3526,1,3,1,63.91,NA,2,2,1
2013,BG,3536,BG31,3536,1,3,2,326.21,NA,2,1,2
2013,BG,3541,BG31,3541,1,4,2,47.04,NA,1,2,2
2013,BG,3572,BG31,3572,1,5,1,129.53,NA,2,1,4
2013,BG,3619,BG31,3619,1,3,2,97.15,NA,2,2,1
2013,BG,3637,BG31,3637,1,3,2,107.25,NA,2,2,2
2013,BG,3678,BG31,3678,1,2,1,143.16,NA,1,2,3
2013,BG,3688,BG31,3688,1,3,1,61.36,NA,1,1,3
2013,BG,3695,BG31,3695,1,4,1,97.15,NA,1,1,3
2013,BG,3699,BG31,3699,3,3,2,156.46,NA,1,2,1
2013,BG,3742,BG31,3742,1,4,1,89.48,NA,1,1,4
2013,BG,3746,BG31,3746,3,6,2,42.44,NA,1,1,2
2013,BG,3747,BG31,3747,1,4,1,242.87,NA,1,1,3
2013,BG,3857,BG31,3857,1,2,1,75.16,NA,1,2,4
2013,BG,3892,BG31,3892,1,3,1,91.52,NA,2,2,3
2013,BG,3895,BG31,3895,5,3,2,132.94,NA,2,2,1
2013,BG,3924,BG31,3924,1,6,2,93.14,NA,1,1,1
2013,BG,3960,BG31,3960,5,2,2,92.03,NA,1,2,3
2013,BG,3994,BG31,3994,1,3,2,208.28,NA,1,1,4
2013,BG,3996,BG31,3996,5,3,1,326.21,NA,1,2,2
2013,BG,4056,BG31,4056,1,2,1,75.67,NA,1,1,5
2013,BG,4067,BG31,4067,1,2,1,114.45,NA,1,1,5
2013,BG,4068,BG31,4068,5,2,2,55.22,NA,1,2,2
2013,BG,4072,BG31,4072,1,2,1,97.15,NA,1,2,2
2013,BG,4161,BG31,4161,1,3,1,228.04,NA,1,1,1
2013,BG,4174,BG31,4174,5,2,1,112.49,NA,2,2,2
2013,BG,4181,BG31,4181,1,4,2,188.16,NA,1,1,3
2013,BG,4197,BG31,4197,1,2,1,127.82,NA,1,2,2
2013,BG,4199,BG31,4199,5,3,1,196.34,NA,1,2,3
2013,BG,4234,BG31,4234,1,6,2,63.91,NA,2,2,5
2013,BG,4250,BG31,4250,1,3,2,43.46,NA,1,2,1
2013,BG,4278,BG31,4278,1,3,2,221.72,NA,2,1,2
2013,BG,4301,BG31,4301,1,2,1,93.14,NA,1,2,2
2013,BG,4304,BG31,4304,1,3,1,127.31,NA,1,1,3
2013,BG,4327,BG31,4327,1,2,1,64.42,NA,2,2,4
2013,BG,4328,BG31,4328,1,2,1,51.13,NA,2,1,1
2013,BG,4406,BG31,4406,3,4,2,406.69,NA,1,2,1
2013,BG,4411,BG31,4411,1,3,2,82.83,NA,2,2,3
2013,BG,4437,BG31,4437,5,2,1,122.71,NA,2,2,1
2013,BG,4442,BG31,4442,5,4,1,107.37,NA,1,2,2
2013,BG,4482,BG31,4482,1,2,2,114.33,NA,2,2,2
2013,BG,4558,BG31,4558,5,3,1,166.17,NA,1,2,1
2013,BG,4622,BG31,4622,3,3,1,42.44,NA,1,2,3
2013,BG,4662,BG31,4662,1,3,2,127.31,NA,2,2,1
2013,BG,4663,BG31,4663,1,2,1,123.73,NA,1,2,2
2013,BG,4680,BG31,4680,1,4,2,129.53,NA,1,1,3
2013,BG,4714,BG31,4714,5,4,1,76.69,NA,1,2,2
2013,BG,4756,BG31,4756,5,3,1,99.7,NA,1,1,1
2013,BG,4769,BG31,4769,1,3,1,274.57,NA,2,1,4
2013,BG,4786,BG31,4786,1,2,1,60.84,NA,1,1,3
2013,BG,4791,BG31,4791,1,5,1,160.04,NA,2,2,2
2013,BG,4807,BG31,4807,1,3,1,154.41,NA,1,2,1
2013,BG,4909,BG31,4909,1,1,1,86.92,NA,1,1,2
2013,BG,4915,BG31,4915,5,3,1,107.37,NA,1,2,1
2013,BG,4943,BG31,4943,3,5,2,188.16,NA,1,2,2
2013,BG,4964,BG31,4964,1,3,1,406.69,NA,1,2,3
2013,BG,4970,BG31,4970,1,5,1,17.9,NA,2,2,3
2013,BG,5005,BG31,5005,1,3,2,127.31,NA,1,1,3
2013,BG,5034,BG31,5034,5,3,1,78.74,NA,1,2,3
2013,BG,5037,BG31,5037,3,3,2,133.45,NA,1,2,1
2013,BG,5043,BG31,5043,1,2,2,94.59,NA,2,2,2
2013,BG,5091,BG31,5091,1,4,1,51.13,NA,1,2,1
2013,BG,5106,BG31,5106,3,2,2,92.03,NA,1,1,3
2013,BG,5132,BG31,5132,1,3,2,132.43,NA,1,2,1
2013,BG,5148,BG31,5148,1,4,2,66.47,NA,1,2,3
2013,BG,5164,BG31,5164,1,3,2,3.07,NA,1,2,2
2013,BG,5168,BG31,5168,1,2,1,129.53,NA,1,2,4
2013,BG,5304,BG31,5304,1,2,2,79.25,NA,1,1,3
2013,BG,5307,BG31,5307,1,4,1,117.6,NA,2,2,3
2013,BG,5349,BG31,5349,1,3,1,38.35,NA,1,1,5
2013,BG,5355,BG31,5355,1,1,2,38.35,NA,1,2,4
2013,BG,5367,BG31,5367,1,4,1,75.67,NA,1,1,2
2013,BG,5376,BG31,5376,1,4,1,274.57,NA,1,2,2
2013,BG,5377,BG31,5377,1,2,2,76.18,NA,1,2,3
2013,BG,5391,BG31,5391,1,2,1,326.21,NA,2,2,2
2013,BG,5407,BG31,5407,1,2,1,105.84,NA,1,1,5
2013,BG,5431,BG31,5431,3,6,1,113.51,NA,1,2,4
2013,BG,5505,BG31,5505,1,3,1,33.23,NA,1,2,3
2013,BG,5534,BG31,5534,1,3,2,124.76,NA,2,1,2
2013,BG,5543,BG31,5543,3,4,1,115.04,NA,2,1,3
2013,BG,5564,BG31,5564,1,4,1,127.31,NA,1,2,6
2013,BG,5592,BG31,5592,1,2,2,62.89,NA,1,2,2
2013,BG,5593,BG31,5593,3,3,2,106.35,NA,1,2,1
2013,BG,5620,BG31,5620,1,3,1,43.46,NA,2,2,1
2013,BG,5624,BG31,5624,1,1,2,322.12,NA,2,1,1
2013,BG,5660,BG31,5660,1,4,2,123.22,NA,1,1,5
2013,BG,5734,BG31,5734,1,2,1,91.52,NA,1,1,4
2013,BG,5751,BG31,5751,3,4,1,127.82,NA,1,2,1
2013,BG,5754,BG31,5754,1,6,1,212.19,NA,1,2,2
2013,BG,5755,BG31,5755,1,3,1,178.95,NA,2,2,3
2013,BG,5763,BG31,5763,5,5,1,143.16,NA,1,1,2
2013,BG,5782,BG31,5782,1,3,2,93.14,NA,1,1,3
2013,BG,5802,BG31,5802,1,5,1,93.14,NA,1,1,2
2013,BG,5804,BG31,5804,1,4,1,114.45,NA,2,1,3
2013,BG,5810,BG31,5810,3,3,2,42.44,NA,1,1,1
2013,BG,5818,BG31,5818,1,4,1,47.04,NA,1,1,5
2013,BG,5844,BG31,5844,1,1,2,188.16,NA,1,1,2
2013,BG,5861,BG31,5861,1,6,2,71.07,NA,1,1,1
2013,BG,5892,BG31,5892,1,2,1,261.27,NA,1,2,1
2013,BG,5956,BG31,5956,1,2,1,17.9,NA,1,1,5
2013,BG,5958,BG31,5958,1,4,1,274.57,NA,1,1,2
2013,BG,5970,BG31,5970,1,2,1,106.35,NA,2,2,3
2013,BG,5987,BG31,5987,1,3,2,46.02,NA,1,2,3
2013,BG,6026,BG31,6026,1,4,1,127.82,NA,1,1,4
2013,BG,6029,BG31,6029,1,2,1,235.2,NA,2,2,3
2013,BG,6035,BG31,6035,1,2,1,138.05,NA,1,1,5
2013,BG,6040,BG31,6040,5,2,1,93.14,NA,1,2,3
