Date,Close/Last,Volume,Open,High,Low
10/28/2024,$34.72,7108489,$34.30,$34.76,$34.21
10/25/2024,$35.55,2851150,$35.40,$35.63,$35.11
10/24/2024,$35.10,2053224,$35.22,$35.61,$34.75
10/23/2024,$35.11,1916108,$35.30,$35.30,$34.765
10/22/2024,$35.46,3681338,$35.80,$35.85,$35.30
10/21/2024,$35.70,2468804,$35.90,$35.93,$35.44
10/18/2024,$35.56,2314146,$35.66,$35.72,$35.11
10/17/2024,$35.70,2727216,$35.31,$35.755,$35.18
10/16/2024,$35.27,4763166,$35.56,$35.66,$35.23
10/15/2024,$35.36,7563407,$35.875,$36.03,$35.315
10/14/2024,$37.01,2997398,$37.06,$37.355,$36.85
10/11/2024,$37.60,5422992,$37.45,$37.9073,$37.265
10/10/2024,$37.45,6077127,$36.79,$37.585,$36.425
10/09/2024,$36.54,4193845,$36.07,$36.61,$35.74
10/08/2024,$36.36,5591669,$36.17,$36.40,$35.545
10/07/2024,$36.57,5341378,$35.77,$37.03,$35.70
10/04/2024,$35.55,2715067,$35.36,$35.59,$35.20
10/03/2024,$35.29,3459656,$34.71,$35.29,$34.48
10/02/2024,$34.68,4136324,$35.60,$35.79,$34.11
10/01/2024,$34.78,7688589,$33.01,$34.885,$32.90
09/30/2024,$33.21,8277771,$33.13,$33.495,$33.045
09/27/2024,$33.21,5433569,$33.02,$33.28,$32.7725
09/26/2024,$32.64,10550210,$33.00,$33.10,$32.50
09/25/2024,$33.70,3716717,$34.47,$34.60,$33.55
09/24/2024,$34.61,5025904,$34.46,$34.77,$34.325
09/23/2024,$33.80,4452870,$33.59,$33.99,$33.32
09/20/2024,$33.40,3642809,$33.55,$33.70,$33.17
09/19/2024,$33.77,4065715,$33.61,$33.92,$33.55
09/18/2024,$32.86,3710189,$32.82,$33.345,$32.57
09/17/2024,$32.85,3190496,$32.42,$32.925,$32.26
09/16/2024,$32.33,6357938,$32.30,$32.4659,$31.66
09/13/2024,$31.97,11851070,$32.43,$32.54,$31.93
09/12/2024,$32.64,9365648,$32.46,$32.84,$32.34
09/11/2024,$32.39,5594471,$32.47,$32.62,$31.945
09/10/2024,$32.21,6361366,$33.49,$33.60,$31.995
09/09/2024,$33.49,2741753,$33.39,$33.745,$33.34
09/06/2024,$33.23,5915000,$33.90,$34.15,$33.09
09/05/2024,$33.79,4879854,$34.50,$34.61,$33.715
09/04/2024,$34.19,4263550,$34.94,$35.10,$34.08
09/03/2024,$34.82,4483069,$35.32,$35.525,$34.62
08/30/2024,$36.21,2827666,$36.59,$36.62,$35.83
08/29/2024,$36.92,5204121,$36.74,$37.065,$36.52
08/28/2024,$36.52,6144498,$36.66,$36.94,$36.29
08/27/2024,$36.94,6291761,$37.23,$37.455,$36.88
08/26/2024,$37.41,6111324,$36.94,$37.625,$36.94
08/23/2024,$36.43,2779519,$36.02,$36.80,$36.02
08/22/2024,$35.81,2226912,$35.69,$35.99,$35.645
08/21/2024,$35.67,2669071,$35.78,$36.06,$35.585
08/20/2024,$35.70,4010593,$36.55,$36.66,$35.52
08/19/2024,$36.61,4774129,$36.62,$37.06,$36.46
08/16/2024,$36.52,2827064,$36.62,$36.75,$36.32
08/15/2024,$36.73,4989290,$36.32,$37.08,$36.30
08/14/2024,$36.13,5519471,$35.94,$36.29,$35.79
08/13/2024,$35.81,3181145,$35.65,$35.875,$35.55
08/12/2024,$35.72,4806166,$35.00,$35.85,$35.00
08/09/2024,$34.82,3727512,$34.39,$34.865,$34.07
08/08/2024,$34.40,3242637,$33.67,$34.63,$33.66
08/07/2024,$33.52,3959497,$34.12,$34.155,$33.36
08/06/2024,$33.25,5834922,$32.60,$33.765,$32.39
08/05/2024,$32.92,6842540,$32.30,$33.19,$32.0804
08/02/2024,$32.92,6756602,$32.30,$33.19,$32.0804
08/01/2024,$34.96,7275942,$35.49,$36.295,$34.36
07/31/2024,$35.48,5323182,$34.94,$35.545,$34.57
07/30/2024,$34.18,5699084,$34.00,$34.39,$34.00
07/29/2024,$34.09,5794849,$34.63,$34.63,$33.9349
07/26/2024,$34.42,7922294,$34.41,$34.59,$34.00
