DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,CY,4,CY00,4,3,6,1,164.5,NA,1,2,1
2013,CY,25,CY00,25,2,6,1,235,NA,2,1,2
2013,CY,41,CY00,41,3,6,1,180.83,NA,1,1,1
2013,CY,49,CY00,49,1,5,2,288.83,526.25,1,2,1
2013,CY,54,CY00,54,1,2,1,29.17,119.58,2,2,2
2013,CY,90,CY00,90,2,5,2,524.17,NA,1,1,2
2013,CY,105,CY00,105,5,4,2,191.17,NA,1,2,1
2013,CY,111,CY00,111,2,5,2,447.5,NA,1,2,4
2013,CY,121,CY00,121,1,5,2,52.08,NA,1,1,4
2013,CY,126,CY00,126,5,6,1,244.25,NA,2,1,1
2013,CY,135,CY00,135,1,6,1,964.17,NA,1,1,6
2013,CY,159,CY00,159,1,6,2,422.5,NA,1,1,2
2013,CY,173,CY00,173,1,6,1,123.75,NA,1,1,3
2013,CY,175,CY00,175,5,6,1,459.5,NA,1,2,3
2013,CY,211,CY00,211,1,6,2,227.42,652.5,1,2,6
2013,CY,213,CY00,213,2,6,1,185.83,NA,1,1,1
2013,CY,235,CY00,235,1,6,1,445.83,NA,1,2,1
2013,CY,241,CY00,241,3,3,1,117.5,NA,1,1,1
2013,CY,245,CY00,245,1,4,1,1316.67,NA,1,1,1
2013,CY,249,CY00,249,2,6,2,82.5,NA,1,2,3
2013,CY,252,CY00,252,1,6,1,60.83,NA,1,1,3
2013,CY,262,CY00,262,2,6,2,171.17,NA,1,2,2
2013,CY,272,CY00,272,1,6,1,1722.5,NA,1,1,3
2013,CY,280,CY00,280,1,5,2,126.58,NA,1,1,4
2013,CY,283,CY00,283,2,5,1,1117.83,0,1,1,1
2013,CY,296,CY00,296,3,4,2,859.67,NA,1,2,1
2013,CY,318,CY00,318,1,5,2,40,NA,1,1,2
2013,CY,320,CY00,320,1,6,1,170.83,NA,1,2,1
2013,CY,347,CY00,347,2,6,1,472.58,NA,1,1,1
2013,CY,354,CY00,354,1,6,1,257.5,NA,1,1,2
2013,CY,366,CY00,366,2,5,1,376.25,NA,1,2,1
2013,CY,368,CY00,368,1,6,2,137.08,NA,1,1,3
2013,CY,370,CY00,370,2,5,1,541,NA,1,1,4
2013,CY,375,CY00,375,5,6,2,137.08,NA,2,2,1
2013,CY,376,CY00,376,1,4,1,760.83,NA,1,2,3
2013,CY,383,CY00,383,1,6,1,315,497,1,1,5
2013,CY,384,CY00,384,2,4,1,1842.5,NA,1,2,4
2013,CY,389,CY00,389,2,6,1,55,NA,1,1,2
2013,CY,402,CY00,402,2,6,1,502.92,0,1,1,2
2013,CY,434,CY00,434,3,6,1,255,NA,1,2,3
2013,CY,438,CY00,438,2,6,1,518.25,NA,1,1,4
2013,CY,447,CY00,447,3,6,1,174.17,NA,1,2,1
2013,CY,453,CY00,453,2,6,1,408.5,NA,2,2,2
2013,CY,459,CY00,459,1,6,1,1316.67,324.33,2,1,5
2013,CY,466,CY00,466,2,6,1,267.08,NA,1,1,6
2013,CY,500,CY00,500,1,5,1,541,NA,1,1,3
2013,CY,531,CY00,531,5,4,1,310.08,NA,1,2,1
2013,CY,543,CY00,543,1,6,1,248.75,NA,1,1,4
2013,CY,549,CY00,549,3,5,1,241.67,794.17,1,2,2
2013,CY,555,CY00,555,2,5,2,299,NA,1,2,4
2013,CY,570,CY00,570,3,6,2,421.33,NA,1,1,1
2013,CY,582,CY00,582,1,6,1,415,NA,1,1,2
2013,CY,585,CY00,585,1,4,1,213.33,NA,1,1,2
2013,CY,599,CY00,599,1,6,1,2123.67,NA,2,2,3
2013,CY,602,CY00,602,5,4,1,349.17,NA,1,1,5
2013,CY,625,CY00,625,5,5,2,2034.25,NA,1,2,3
2013,CY,632,CY00,632,1,6,1,177.08,75,1,2,4
2013,CY,641,CY00,641,4,6,1,382.5,NA,1,1,1
2013,CY,645,CY00,645,1,5,1,532.5,NA,1,2,2
2013,CY,647,CY00,647,2,6,1,0,NA,1,2,4
2013,CY,674,CY00,674,3,6,2,178.33,NA,1,2,4
2013,CY,687,CY00,687,1,6,1,1045.83,NA,1,1,3
2013,CY,692,CY00,692,5,3,1,73.33,NA,1,2,2
2013,CY,700,CY00,700,1,6,1,302.92,NA,1,2,3
2013,CY,701,CY00,701,1,4,1,77.17,NA,1,1,5
2013,CY,707,CY00,707,3,6,2,421.67,NA,1,1,1
2013,CY,708,CY00,708,2,6,1,1127.5,NA,1,1,4
2013,CY,711,CY00,711,1,5,1,120.5,NA,1,2,5
2013,CY,720,CY00,720,1,6,1,177.5,1672.5,1,2,3
2013,CY,732,CY00,732,1,6,2,683.33,NA,1,1,1
2013,CY,739,CY00,739,1,5,1,612.92,NA,1,2,2
2013,CY,744,CY00,744,1,6,2,213.42,0,1,2,2
2013,CY,748,CY00,748,5,3,2,733.5,0,1,2,2
2013,CY,774,CY00,774,1,4,2,137.5,NA,1,2,2
2013,CY,795,CY00,795,1,6,1,178.67,NA,2,2,3
2013,CY,800,CY00,800,1,3,2,215.42,NA,1,1,2
2013,CY,833,CY00,833,2,6,1,90.17,NA,1,2,2
2013,CY,838,CY00,838,1,6,1,340.5,0,2,1,1
2013,CY,871,CY00,871,3,6,1,77.17,NA,1,2,3
2013,CY,872,CY00,872,2,5,1,620,NA,1,1,6
2013,CY,875,CY00,875,3,5,1,2034.25,NA,1,1,3
2013,CY,888,CY00,888,4,4,1,813,NA,1,1,5
2013,CY,894,CY00,894,3,5,1,737.08,NA,1,1,1
2013,CY,905,CY00,905,5,5,1,374.33,NA,1,2,1
2013,CY,912,CY00,912,1,6,1,144,NA,1,1,3
2013,CY,914,CY00,914,1,6,1,303.83,NA,1,2,1
2013,CY,927,CY00,927,2,4,1,307.08,255.83,2,2,1
2013,CY,947,CY00,947,3,6,1,486.5,NA,1,1,1
2013,CY,961,CY00,961,5,5,1,138.75,NA,1,1,3
2013,CY,990,CY00,990,2,6,1,142.67,652.5,1,1,2
2013,CY,995,CY00,995,5,4,1,86.67,NA,1,2,4
2013,CY,1005,CY00,1005,1,6,2,687.5,NA,1,2,3
2013,CY,1032,CY00,1032,1,6,1,583.67,410,1,2,1
2013,CY,1076,CY00,1076,2,6,1,700.75,NA,1,1,2
2013,CY,1077,CY00,1077,1,6,1,96.67,NA,1,1,5
2013,CY,1086,CY00,1086,4,4,2,98.33,NA,1,2,3
2013,CY,1108,CY00,1108,1,6,1,526.67,NA,1,1,3
2013,CY,1122,CY00,1122,1,5,2,171.67,497,1,2,3
2013,CY,1147,CY00,1147,3,4,2,1000.75,258.58,1,1,1
2013,CY,1156,CY00,1156,5,6,1,1256.67,NA,1,1,1
2013,CY,1170,CY00,1170,1,4,1,96.67,NA,1,1,1
2013,CY,1209,CY00,1209,3,6,1,435.83,NA,1,2,3
2013,CY,1226,CY00,1226,1,5,2,215.83,NA,1,1,2
2013,CY,1239,CY00,1239,2,5,1,540.83,NA,1,2,3
2013,CY,1249,CY00,1249,1,5,1,67.67,NA,1,2,3
2013,CY,1279,CY00,1279,2,6,1,274,0,1,1,5
2013,CY,1283,CY00,1283,1,4,2,1075.83,NA,1,2,1
2013,CY,1290,CY00,1290,1,6,1,323.75,0,1,2,6
2013,CY,1313,CY00,1313,1,6,2,202.5,NA,1,2,1
2013,CY,1320,CY00,1320,3,3,1,292.5,NA,1,1,2
2013,CY,1332,CY00,1332,1,6,2,569.08,1916.67,1,2,1
2013,CY,1333,CY00,1333,3,5,2,192.17,NA,1,1,3
2013,CY,1336,CY00,1336,1,6,2,429.08,NA,1,1,3
2013,CY,1340,CY00,1340,2,6,2,2123.67,NA,1,2,4
2013,CY,1343,CY00,1343,1,4,1,1026,840.58,1,1,2
2013,CY,1352,CY00,1352,1,4,1,151.83,NA,1,1,3
2013,CY,1363,CY00,1363,1,6,1,177.92,NA,1,2,1
2013,CY,1375,CY00,1375,5,5,1,1135,NA,1,1,2
2013,CY,1384,CY00,1384,1,6,1,282.08,NA,1,2,4
2013,CY,1393,CY00,1393,1,6,2,362.5,NA,1,2,5
2013,CY,1404,CY00,1404,1,6,2,149.17,NA,1,1,3
2013,CY,1405,CY00,1405,3,6,2,186.58,NA,1,1,3
2013,CY,1426,CY00,1426,1,6,1,518.25,2773.75,1,1,2
2013,CY,1434,CY00,1434,1,6,2,153.83,NA,1,2,1
2013,CY,1443,CY00,1443,1,6,1,0,622.5,1,2,4
2013,CY,1452,CY00,1452,5,6,1,977.08,899.58,1,1,3
2013,CY,1484,CY00,1484,1,6,1,274.67,NA,2,2,4
2013,CY,1495,CY00,1495,1,6,1,216.67,NA,1,2,1
2013,CY,1521,CY00,1521,2,6,1,803.58,780.17,1,1,4
2013,CY,1561,CY00,1561,5,6,2,100.67,280.33,1,2,3
2013,CY,1562,CY00,1562,1,5,2,394.17,NA,2,2,5
2013,CY,1605,CY00,1605,2,5,1,161.67,NA,1,2,1
2013,CY,1608,CY00,1608,3,6,1,137.08,NA,1,2,3
2013,CY,1651,CY00,1651,2,6,1,386.33,899.58,1,1,4
2013,CY,1652,CY00,1652,1,5,1,0,NA,1,1,4
2013,CY,1680,CY00,1680,5,5,2,405.08,332,1,2,4
2013,CY,1687,CY00,1687,5,6,1,96.67,NA,1,1,3
2013,CY,1713,CY00,1713,1,6,2,596.67,NA,1,2,1
2013,CY,1722,CY00,1722,2,6,1,577.5,NA,1,1,2
2013,CY,1763,CY00,1763,5,6,1,230.83,0,2,2,2
2013,CY,1772,CY00,1772,2,6,1,169.42,408.33,1,1,3
2013,CY,1775,CY00,1775,1,5,1,319.92,354.17,1,1,3
2013,CY,1783,CY00,1783,2,6,1,810.83,NA,1,1,3
2013,CY,1803,CY00,1803,2,6,1,121.83,NA,1,2,1
2013,CY,1808,CY00,1808,1,6,2,2034.25,NA,1,1,3
2013,CY,1813,CY00,1813,2,6,2,683.33,NA,2,1,4
2013,CY,1821,CY00,1821,1,6,2,222.25,NA,1,1,4
2013,CY,1826,CY00,1826,1,6,1,478.33,NA,1,2,1
2013,CY,1842,CY00,1842,1,6,2,139.17,NA,2,1,4
2013,CY,1847,CY00,1847,2,6,1,223,NA,1,1,3
2013,CY,1859,CY00,1859,2,6,2,1100,0,1,2,2
2013,CY,1864,CY00,1864,1,6,1,687.5,NA,2,2,1
2013,CY,1868,CY00,1868,3,6,1,390.17,NA,1,1,1
2013,CY,1896,CY00,1896,3,6,2,259.92,NA,1,1,6
2013,CY,1898,CY00,1898,1,6,1,426.5,NA,1,2,5
2013,CY,1951,CY00,1951,2,5,1,126.58,NA,1,1,4
2013,CY,1955,CY00,1955,1,6,1,502.92,NA,1,2,1
2013,CY,1972,CY00,1972,1,6,1,447.33,NA,1,2,2
2013,CY,1975,CY00,1975,1,6,1,108.33,NA,1,1,1
2013,CY,1996,CY00,1996,3,5,1,422.5,NA,2,1,2
2013,CY,1997,CY00,1997,2,4,1,688.08,NA,1,1,6
2013,CY,2019,CY00,2019,3,6,1,444.92,NA,1,1,1
2013,CY,2038,CY00,2038,1,6,1,378.33,NA,2,2,1
2013,CY,2053,CY00,2053,5,3,2,278.83,NA,1,1,1
2013,CY,2061,CY00,2061,1,5,1,593.33,NA,1,2,1
2013,CY,2094,CY00,2094,2,4,2,423.83,NA,1,2,2
2013,CY,2109,CY00,2109,2,5,1,227.08,NA,1,1,3
2013,CY,2112,CY00,2112,1,3,1,200,NA,1,1,5
2013,CY,2117,CY00,2117,1,6,1,964.17,NA,1,1,3
2013,CY,2132,CY00,2132,1,6,1,0,NA,1,1,2
2013,CY,2135,CY00,2135,1,5,1,148.5,NA,1,2,3
2013,CY,2138,CY00,2138,1,6,1,964.17,NA,1,1,3
2013,CY,2140,CY00,2140,2,5,1,243.33,NA,1,2,2
2013,CY,2168,CY00,2168,3,6,2,547.5,NA,1,1,3
2013,CY,2177,CY00,2177,3,6,1,182.33,NA,1,1,4
2013,CY,2179,CY00,2179,3,5,1,227.08,0,2,2,3
2013,CY,2195,CY00,2195,1,6,1,345,508.33,1,1,2
2013,CY,2203,CY00,2203,2,6,1,220,NA,1,1,3
2013,CY,2222,CY00,2222,2,5,1,248.75,NA,1,1,3
2013,CY,2252,CY00,2252,1,6,1,477.92,NA,1,2,2
2013,CY,2272,CY00,2272,2,4,1,231.33,NA,1,2,5
2013,CY,2315,CY00,2315,2,4,1,528.33,NA,1,1,1
2013,CY,2368,CY00,2368,1,5,1,625.83,NA,1,2,3
2013,CY,2406,CY00,2406,5,5,2,105.17,NA,1,1,4
2013,CY,2415,CY00,2415,1,6,1,518.25,2773.75,1,1,6
2013,CY,2436,CY00,2436,2,5,2,137.08,NA,2,1,3
2013,CY,2438,CY00,2438,5,5,2,261.42,NA,1,2,2
2013,CY,2452,CY00,2452,3,5,1,834.58,NA,1,1,1
2013,CY,2462,CY00,2462,1,6,1,302.92,NA,1,1,1
2013,CY,2470,CY00,2470,2,6,1,289.58,0,1,1,2
2013,CY,2473,CY00,2473,1,5,2,2075,NA,1,1,1
2013,CY,2485,CY00,2485,1,6,1,141.25,NA,1,2,2
2013,CY,2488,CY00,2488,1,6,1,187.08,NA,1,2,5
2013,CY,2496,CY00,2496,5,5,2,92.5,NA,1,1,2
2013,CY,2512,CY00,2512,2,3,1,722.92,NA,1,1,4
2013,CY,2546,CY00,2546,1,6,1,340.5,NA,1,1,3
2013,CY,2551,CY00,2551,2,6,1,518.25,NA,1,1,6
2013,CY,2573,CY00,2573,2,6,1,1256.67,906.33,1,2,4
2013,CY,2598,CY00,2598,3,6,2,543.92,NA,1,2,3
2013,CY,2605,CY00,2605,3,6,2,1008,291.67,1,1,3
2013,CY,2631,CY00,2631,1,2,1,103,167.5,1,2,2
2013,CY,2648,CY00,2648,1,6,1,787.5,NA,1,1,6
2013,CY,2659,CY00,2659,1,6,2,250,50,1,1,1
2013,CY,2664,CY00,2664,1,5,1,227.5,NA,1,1,4
2013,CY,2666,CY00,2666,1,6,1,740.5,NA,1,1,2
2013,CY,2673,CY00,2673,2,5,1,692.25,854.58,1,2,4
2013,CY,2688,CY00,2688,1,6,1,977.08,1604.92,1,1,4
2013,CY,2690,CY00,2690,2,4,1,200,NA,1,2,1
2013,CY,2699,CY00,2699,1,5,1,325,NA,1,1,3
2013,CY,2708,CY00,2708,5,6,2,557.92,0,1,1,3
2013,CY,2724,CY00,2724,3,5,1,524.17,NA,1,1,2
2013,CY,2737,CY00,2737,2,6,1,253.33,NA,1,1,3
