DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,DE,356,,356,5,3,1,459,105,1,1,5
2013,DE,447,,447,1,6,1,969.17,,1,2,5
2013,DE,599,,599,3,4,1,510,,1,1,5
2013,DE,711,,711,2,6,1,590,,2,2,4
2013,DE,795,,795,2,5,1,1140.67,,1,1,6
2013,DE,896,,896,3,2,1,340.75,,1,1,4
2013,DE,1082,,1082,4,2,1,431.67,,1,1,4
2013,DE,1225,,1225,3,2,1,309.75,,1,1,3
2013,DE,1277,,1277,3,6,1,663,,1,2,4
2013,DE,1313,,1313,1,2,1,960.5,,1,2,4
2013,DE,2362,,2362,3,5,1,1129.5,,1,1,3
2013,DE,2569,,2569,1,5,1,428.33,,1,2,4
2013,DE,4020,,4020,3,4,1,818.58,,1,2,5
2013,DE,4075,,4075,3,2,1,400,100,1,1,5
2013,DE,4519,,4519,3,4,1,715.33,,1,1,6
2013,DE,4812,,4812,3,3,1,43.33,,1,2,4
2013,DE,5030,,5030,2,6,1,651,,1,2,5
2013,DE,5182,,5182,1,3,1,321.67,,1,2,2
2013,DE,5246,,5246,4,4,1,3065.75,,1,1,4
2013,DE,5686,,5686,1,3,1,395,,1,2,3
2013,DE,6140,,6140,3,2,1,566,,1,2,3
2013,DE,6213,,6213,1,6,1,249,,1,1,5
2013,DE,6653,,6653,1,3,1,798,,1,1,5
2013,DE,6926,,6926,4,3,1,1302.92,,1,1,4
2013,DE,8484,,8484,2,5,1,708,,1,1,3
2013,DE,8623,,8623,3,5,1,272.92,,1,1,5
2013,DE,8767,,8767,4,3,1,2080.67,,1,2,6
2013,DE,9550,,9550,3,3,1,328.33,700,2,,2
2013,DE,9829,,9829,3,5,1,747.83,,1,1,4
2013,DE,9891,,9891,2,3,1,439,,1,2,5
2013,DE,10564,,10564,1,3,1,625,,1,1,6
2013,DE,11471,,11471,2,4,2,315,,1,2,4
2013,DE,11975,,11975,2,2,1,513,,1,1,4
2013,DE,12301,,12301,5,2,1,212.5,,1,2,4
2013,DE,12539,,12539,3,4,1,623,186,1,2,4
2013,DE,12776,,12776,1,1,1,618.33,125,1,1,3
2013,DE,13339,,13339,3,2,1,683,,1,2,6
2013,DE,13701,,13701,3,2,1,849,,1,1,2
2013,DE,13940,,13940,1,4,1,254.33,,1,2,4
2013,DE,14017,,14017,3,3,1,732,,1,2,4
2013,DE,14227,,14227,1,4,1,1032,202,1,,4
2013,DE,14862,,14862,3,3,1,1017.67,,1,1,5
2013,DE,15327,,15327,2,6,1,611.75,,1,1,5
2013,DE,15355,,15355,3,6,1,960.67,560,1,2,6
2013,DE,16021,,16021,2,3,1,554,450,1,1,5
2013,DE,16136,,16136,2,3,1,895,307,1,1,5
2013,DE,16137,,16137,3,6,1,260.33,,1,1,4
2013,DE,16283,,16283,3,3,1,1091.33,,1,2,4
2013,DE,16472,,16472,1,3,1,412,,1,1,4
2013,DE,16915,,16915,3,5,1,784.33,,1,1,5
2013,DE,16957,,16957,3,3,1,825,600,1,2,4
2013,DE,17856,,17856,3,3,1,599,,1,2,5
2013,DE,17864,,17864,3,2,1,480,,1,1,4
2013,DE,17932,,17932,1,3,1,714,228,1,1,4
2013,DE,19003,,19003,2,3,1,415.42,,1,2,4
2013,DE,20183,,20183,1,2,1,427.17,,1,1,4
2013,DE,20314,,20314,3,3,1,378.17,,1,1,6
2013,DE,20826,,20826,3,4,1,378,,1,2,5
2013,DE,21601,,21601,5,4,1,617.83,,1,1,5
2013,DE,21739,,21739,3,1,1,897,,1,2,3
2013,DE,22223,,22223,1,5,1,663,,1,2,5
2013,DE,22374,,22374,1,6,1,297.67,,1,1,4
2013,DE,22518,,22518,2,4,1,563,,1,2,4
2013,DE,22903,,22903,3,2,1,2464.5,640,1,1,3
2013,DE,23033,,23033,2,3,1,280.5,,1,2,5
2013,DE,23125,,23125,1,3,1,614,,1,1,4
2013,DE,23553,,23553,3,2,1,454,,1,2,3
2013,DE,23634,,23634,3,3,1,690.42,,1,1,4
2013,DE,23859,,23859,2,2,1,329.92,670,2,2,3
2013,DE,24027,,24027,2,1,1,1486.58,,1,1,3
2013,DE,24186,,24186,4,5,1,540.67,800,1,2,3
2013,DE,24571,,24571,3,6,1,509,,1,1,4
2013,DE,25127,,25127,3,2,1,302.42,475,1,1,
2013,DE,25357,,25357,1,2,1,607,50,1,1,5
2013,DE,25753,,25753,3,3,1,457.33,,1,2,5
2013,DE,25779,,25779,2,2,1,1445.67,820,1,1,4
2013,DE,26362,,26362,2,3,1,665.67,,1,2,3
2013,DE,27297,,27297,3,2,1,797,,1,1,3
2013,DE,27793,,27793,2,3,1,319,,1,1,3
2013,DE,28061,,28061,3,2,1,1649.5,,1,1,4
2013,DE,28153,,28153,3,3,1,482.67,,1,1,2
2013,DE,28372,,28372,3,4,1,193.67,,1,2,4
2013,DE,28715,,28715,1,6,1,650,300,1,2,5
2013,DE,28800,,28800,3,3,,599.67,,1,2,4
2013,DE,30082,,30082,2,5,1,413.17,,1,1,5
2013,DE,30299,,30299,3,2,1,412,0,1,2,4
2013,DE,30324,,30324,3,5,1,301.42,,1,1,5
2013,DE,30504,,30504,1,5,1,480,,1,2,5
2013,DE,30766,,30766,2,2,1,471,,1,1,5
2013,DE,31668,,31668,1,2,1,1165.75,,2,2,4
2013,DE,31979,,31979,3,3,1,619.33,,1,2,4
2013,DE,32216,,32216,1,5,1,537.25,,1,2,4
2013,DE,32284,,32284,2,3,1,935.67,285,1,1,6
2013,DE,32376,,32376,3,3,1,495.33,,1,2,3
2013,DE,32469,,32469,2,3,1,235.83,,1,1,4
2013,DE,33186,,33186,4,3,1,250.67,,1,1,5
2013,DE,33307,,33307,3,1,1,361,,1,2,4
2013,DE,33694,,33694,3,2,2,520,,1,1,1
2013,DE,33808,,33808,3,5,1,249,,2,1,4
2013,DE,33936,,33936,3,3,1,132.75,,1,1,6
2013,DE,34209,,34209,1,3,1,646.33,,1,2,6
2013,DE,34247,,34247,4,3,1,426,,1,1,4
2013,DE,34361,,34361,2,4,1,631.33,,1,1,6
2013,DE,34906,,34906,3,3,1,482.58,,1,2,4
2013,DE,35225,,35225,4,6,1,520,,1,1,3
2013,DE,35520,,35520,1,5,1,326.67,,1,1,4
2013,DE,35836,,35836,3,6,1,870,,1,2,3
2013,DE,35895,,35895,2,3,1,1441.92,600,1,1,4
2013,DE,36120,,36120,4,1,1,924,,1,1,1
2013,DE,37010,,37010,1,6,1,215.92,,1,1,5
2013,DE,37090,,37090,3,3,1,630,,1,1,4
2013,DE,37372,,37372,1,4,1,397,,1,2,4
2013,DE,37397,,37397,3,2,2,567.17,92,2,2,2
2013,DE,37856,,37856,3,5,1,452,541,2,2,4
2013,DE,38169,,38169,3,4,1,748,,1,1,2
2013,DE,38227,,38227,3,3,1,282.58,,1,1,5
2013,DE,38525,,38525,1,3,1,982.33,,1,2,5
2013,DE,38899,,38899,2,3,1,1126.67,,1,1,4
2013,DE,39185,,39185,3,6,1,1430.33,,2,1,5
