DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,EE,7,EE00,7,5,5,1,85.32,NA,1,2,3
2013,EE,24,EE00,24,1,6,1,50,NA,1,2,2
2013,EE,49,EE00,49,2,3,1,381.99,NA,1,1,5
2013,EE,52,EE00,52,2,6,1,107,NA,1,1,5
2013,EE,79,EE00,79,5,2,1,77.3,NA,1,1,2
2013,EE,94,EE00,94,1,4,1,298.4,206,1,1,5
2013,EE,105,EE00,105,2,4,1,97,NA,1,1,5
2013,EE,174,EE00,174,1,3,1,98.16,NA,1,1,2
2013,EE,203,EE00,203,1,2,1,34.59,NA,1,1,2
2013,EE,216,EE00,216,1,1,1,49,300,1,1,5
2013,EE,233,EE00,233,1,2,1,302.2,NA,1,1,5
2013,EE,241,EE00,241,2,5,1,262,NA,1,1,2
2013,EE,246,EE00,246,1,2,1,262.49,NA,1,1,3
2013,EE,262,EE00,262,1,3,1,224.65,NA,1,2,3
2013,EE,266,EE00,266,1,3,1,105.44,NA,1,2,1
2013,EE,270,EE00,270,1,4,1,218.37,NA,2,2,3
2013,EE,271,EE00,271,1,4,1,180,NA,1,1,3
2013,EE,277,EE00,277,1,4,1,0,NA,1,1,2
2013,EE,303,EE00,303,1,4,1,70,NA,1,1,4
2013,EE,328,EE00,328,5,3,1,40,NA,1,2,3
2013,EE,340,EE00,340,2,4,2,153.5,NA,1,2,3
2013,EE,342,EE00,342,1,2,1,66,NA,1,1,2
2013,EE,363,EE00,363,1,2,2,191,NA,1,2,3
2013,EE,405,EE00,405,5,3,1,0,NA,1,2,4
2013,EE,411,EE00,411,2,5,1,290,114,1,1,3
2013,EE,459,EE00,459,2,4,1,109.1,NA,1,1,3
2013,EE,466,EE00,466,2,5,1,368,84,1,1,4
2013,EE,472,EE00,472,1,5,1,326.81,612,1,1,3
2013,EE,478,EE00,478,4,2,1,65.2,NA,1,2,4
2013,EE,480,EE00,480,2,3,1,61.32,NA,1,1,5
2013,EE,495,EE00,495,1,5,1,27,NA,1,2,5
2013,EE,510,EE00,510,2,3,1,245,253,1,1,5
2013,EE,524,EE00,524,5,5,1,74,NA,1,2,3
2013,EE,538,EE00,538,1,4,1,54.19,NA,1,1,3
2013,EE,546,EE00,546,2,2,1,248,100,1,1,3
2013,EE,577,EE00,577,2,4,1,298.4,285,1,2,5
2013,EE,605,EE00,605,1,2,1,174,NA,1,1,3
2013,EE,612,EE00,612,1,2,1,37.3,NA,2,2,2
2013,EE,630,EE00,630,1,4,1,50,366,1,1,3
2013,EE,671,EE00,671,2,6,1,145.1,NA,2,2,4
2013,EE,677,EE00,677,2,4,1,80,NA,2,1,3
2013,EE,683,EE00,683,1,2,1,290,434,1,1,4
2013,EE,685,EE00,685,2,5,1,210.39,NA,1,1,3
2013,EE,711,EE00,711,2,6,1,262,NA,1,1,3
2013,EE,715,EE00,715,2,3,1,114.17,NA,2,1,1
2013,EE,717,EE00,717,1,4,1,248,316,1,1,4
2013,EE,719,EE00,719,1,4,1,418.86,76,1,1,3
2013,EE,723,EE00,723,1,5,1,146.12,160,1,1,3
2013,EE,731,EE00,731,1,3,1,195.15,302,1,2,3
2013,EE,735,EE00,735,1,3,1,158.5,NA,1,1,3
2013,EE,745,EE00,745,1,3,1,200,252,1,1,4
2013,EE,778,EE00,778,2,3,1,222,249,1,1,3
2013,EE,828,EE00,828,1,2,2,164,NA,1,1,5
2013,EE,862,EE00,862,2,6,1,244.98,97,1,1,5
2013,EE,868,EE00,868,1,6,1,131,NA,1,2,3
2013,EE,871,EE00,871,1,2,1,63.7,NA,1,2,2
2013,EE,887,EE00,887,1,2,1,131,90,1,2,2
2013,EE,896,EE00,896,1,4,1,57,NA,1,2,3
2013,EE,954,EE00,954,2,6,1,205.37,192,1,1,3
2013,EE,957,EE00,957,2,3,1,53,400,1,1,5
2013,EE,962,EE00,962,1,3,1,79.5,NA,1,1,3
2013,EE,966,EE00,966,2,6,1,222,84,1,1,3
2013,EE,983,EE00,983,2,2,1,129.6,NA,1,2,5
2013,EE,1013,EE00,1013,1,2,1,133,NA,1,1,3
2013,EE,1016,EE00,1016,1,3,1,123.05,85,1,1,4
2013,EE,1065,EE00,1065,1,3,1,218.37,NA,1,1,3
2013,EE,1071,EE00,1071,1,5,1,642.38,NA,1,2,5
2013,EE,1079,EE00,1079,1,6,1,188,NA,1,NA,3
2013,EE,1092,EE00,1092,1,3,1,232,NA,1,2,2
2013,EE,1131,EE00,1131,2,2,1,187.46,NA,1,1,3
2013,EE,1141,EE00,1141,4,6,1,108,NA,1,2,4
2013,EE,1174,EE00,1174,3,2,1,242,174,1,1,3
2013,EE,1178,EE00,1178,2,2,1,244.98,NA,1,2,4
2013,EE,1212,EE00,1212,1,3,1,73,NA,1,1,1
2013,EE,1235,EE00,1235,1,4,1,170.23,NA,1,1,3
2013,EE,1237,EE00,1237,4,2,1,47,NA,2,2,1
2013,EE,1242,EE00,1242,1,2,1,132.54,108,1,2,3
2013,EE,1255,EE00,1255,2,5,1,190.5,262,1,1,1
2013,EE,1289,EE00,1289,2,3,1,214,141,1,1,5
2013,EE,1321,EE00,1321,2,6,1,367,NA,1,1,3
2013,EE,1322,EE00,1322,1,6,1,214,316,1,2,5
2013,EE,1340,EE00,1340,1,1,1,276.4,NA,1,2,5
2013,EE,1360,EE00,1360,2,6,1,184,477,1,1,3
2013,EE,1370,EE00,1370,1,3,1,294.13,NA,1,1,4
2013,EE,1373,EE00,1373,2,3,1,0,NA,1,2,4
2013,EE,1379,EE00,1379,2,5,1,210.39,NA,1,1,3
2013,EE,1407,EE00,1407,1,2,1,97,NA,1,1,2
2013,EE,1417,EE00,1417,5,3,1,20,132,1,1,4
2013,EE,1419,EE00,1419,1,5,1,176,82,1,2,3
2013,EE,1440,EE00,1440,2,5,1,118,90,1,1,2
2013,EE,1447,EE00,1447,1,6,1,190,NA,1,1,5
2013,EE,1480,EE00,1480,1,4,1,184,76,1,1,3
2013,EE,1494,EE00,1494,2,5,1,146.12,63,1,2,4
2013,EE,1516,EE00,1516,1,2,1,141,NA,1,1,1
2013,EE,1557,EE00,1557,2,3,1,116.79,NA,1,2,2
2013,EE,1560,EE00,1560,1,4,1,330.5,316,1,1,4
2013,EE,1595,EE00,1595,1,4,1,170.6,129,1,1,4
2013,EE,1623,EE00,1623,1,4,1,123,NA,1,2,2
2013,EE,1681,EE00,1681,1,4,1,197,NA,1,1,3
2013,EE,1683,EE00,1683,1,3,1,245,315,1,2,4
2013,EE,1685,EE00,1685,2,2,1,376,248,1,1,3
2013,EE,1709,EE00,1709,4,3,1,171.26,NA,1,2,3
2013,EE,1712,EE00,1712,4,4,1,74,NA,1,1,4
2013,EE,1724,EE00,1724,2,2,1,107,156,1,1,3
2013,EE,1728,EE00,1728,1,3,1,110.56,NA,1,1,3
2013,EE,1736,EE00,1736,2,4,1,303,124,1,2,3
2013,EE,1738,EE00,1738,1,4,1,294.13,336,1,1,5
2013,EE,1744,EE00,1744,1,4,1,133.7,NA,1,1,3
2013,EE,1788,EE00,1788,1,2,1,59.5,NA,1,1,4
2013,EE,1809,EE00,1809,1,3,1,127.83,NA,1,1,3
2013,EE,1812,EE00,1812,2,5,1,188,NA,1,1,2
2013,EE,1817,EE00,1817,1,2,1,109.1,206,1,1,3
2013,EE,1843,EE00,1843,1,3,1,125,NA,1,2,3
2013,EE,1919,EE00,1919,2,6,1,707,215,1,1,4
2013,EE,1940,EE00,1940,1,6,1,212.1,80,2,1,4
2013,EE,1945,EE00,1945,2,5,1,793.69,445,1,1,3
2013,EE,1953,EE00,1953,3,2,1,205.37,175,1,2,3
2013,EE,2014,EE00,2014,1,5,1,246,NA,1,1,3
