DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,ES,43,ES11,43,1,6,1,1364.99,NA,1,1,4
2013,ES,55,ES11,55,3,4,1,136.14,229,1,2,4
2013,ES,72,ES11,72,1,6,1,1384.39,NA,1,1,3
2013,ES,85,ES11,85,4,6,1,269.06,127.28,1,2,5
2013,ES,97,ES11,97,2,4,1,164.87,NA,1,1,4
2013,ES,107,ES11,107,2,6,1,247.06,NA,1,1,4
2013,ES,130,ES11,130,2,2,1,255.1,NA,1,1,4
2013,ES,146,ES11,146,1,4,1,135.1,NA,1,2,4
2013,ES,153,ES11,153,1,5,1,218.29,NA,1,1,5
2013,ES,157,ES11,157,1,5,1,304.48,NA,1,1,4
2013,ES,168,ES11,168,1,6,1,274.56,NA,1,1,4
2013,ES,178,ES11,178,3,5,1,253.43,NA,1,2,3
2013,ES,232,ES11,232,2,4,1,387.37,629.8,1,1,4
2013,ES,283,ES11,283,3,6,1,451.85,348,1,2,3
2013,ES,312,ES11,312,3,6,1,641.14,NA,1,1,2
2013,ES,448,ES11,448,5,5,1,304.48,NA,1,1,4
2013,ES,483,ES11,483,1,6,1,193.85,NA,1,1,4
2013,ES,486,ES11,486,1,4,1,327.18,NA,1,1,5
2013,ES,548,ES11,548,1,2,1,473.52,NA,1,1,2
2013,ES,585,ES11,585,1,5,1,524.06,NA,1,1,3
2013,ES,602,ES11,602,1,5,1,493.47,NA,1,2,4
2013,ES,626,ES11,626,1,3,1,440.31,147,1,1,4
2013,ES,627,ES11,627,1,5,2,193.02,NA,1,1,4
2013,ES,685,ES11,685,2,6,1,339.97,NA,1,1,5
2013,ES,703,ES11,703,1,6,1,1364.99,692.68,1,1,5
2013,ES,725,ES11,725,1,5,1,327.18,599,1,1,3
2013,ES,735,ES11,735,2,5,1,299.54,170,1,1,2
2013,ES,744,ES11,744,1,5,1,202.98,NA,1,2,2
2013,ES,809,ES11,809,2,2,1,310.97,NA,1,2,4
2013,ES,813,ES11,813,1,5,1,715.93,NA,1,1,1
2013,ES,824,ES11,824,1,5,2,430.66,695.5,1,1,3
2013,ES,830,ES11,830,1,6,1,447.79,NA,1,1,3
2013,ES,875,ES11,875,1,5,1,210.73,13,1,2,1
2013,ES,1011,ES11,1011,1,5,1,195.58,NA,1,2,6
2013,ES,1032,ES11,1032,1,2,1,198.93,NA,1,2,4
2013,ES,1052,ES11,1052,1,4,1,171.48,NA,1,1,4
2013,ES,1066,ES11,1066,1,6,1,255.54,NA,1,1,3
2013,ES,1079,ES11,1079,2,6,1,176.77,NA,1,1,5
