DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,FI,142,FI19,142,3,1,1,449,,1,1,5
2013,FI,300,FI19,300,1,2,2,244,,1,2,6
2013,FI,315,FI19,315,2,3,1,318,,1,1,4
2013,FI,354,FI19,354,2,5,1,412,,1,1,6
2013,FI,862,FI19,862,2,4,1,358,,1,1,4
2013,FI,1339,FI19,1339,2,5,1,399,,1,1,4
2013,FI,1387,FI19,1387,1,5,1,300,,1,2,5
2013,FI,1921,FI19,1921,4,5,1,955,,1,2,5
2013,FI,2240,FI19,2240,1,3,1,286,,1,1,5
2013,FI,2417,FI19,2417,4,4,,460,289.16,1,1,6
2013,FI,2611,FI19,2611,1,6,1,363,,2,2,5
2013,FI,2627,FI19,2627,2,6,1,480,,1,2,5
2013,FI,2703,FI19,2703,1,6,1,221,,1,1,6
2013,FI,2778,FI19,2778,2,6,1,560,293.33,1,1,5
2013,FI,2851,FI19,2851,1,5,1,373,,1,2,5
2013,FI,2917,FI19,2917,2,5,1,531,,1,2,4
2013,FI,2996,FI19,2996,2,6,1,587,249.5,1,1,2
2013,FI,3039,FI19,3039,1,4,1,345,360.41,1,1,5
2013,FI,3133,FI19,3133,1,4,1,607,605.58,1,1,3
2013,FI,3159,FI19,3159,3,5,1,179,,1,1,1
2013,FI,3777,FI19,3777,1,3,2,691,287,1,1,4
2013,FI,3860,FI19,3860,1,4,1,266,,1,1,4
2013,FI,3900,FI19,3900,4,4,1,550,,1,1,5
2013,FI,4489,FI19,4489,1,1,1,527,,1,1,6
2013,FI,5195,FI19,5195,2,6,1,236,,1,1,5
2013,FI,5322,FI19,5322,1,4,1,725,,1,1,6
2013,FI,5838,FI19,5838,3,6,1,869,478.33,1,1,4
2013,FI,5912,FI19,5912,2,5,1,1075,307.16,1,2,1
2013,FI,5971,FI19,5971,2,4,1,470,259.33,1,1,4
2013,FI,6066,FI19,6066,1,4,1,145,,1,1,4
2013,FI,6154,FI19,6154,2,4,1,249,1375,1,1,4
2013,FI,6250,FI19,6250,4,6,1,133,,1,2,5
2013,FI,6298,FI19,6298,1,5,1,272,,1,1,3
2013,FI,6932,FI19,6932,2,4,1,188,,1,1,5
2013,FI,6942,FI19,6942,3,4,1,550,279.16,1,2,5
2013,FI,7248,FI19,7248,3,3,1,577,254.91,1,1,4
2013,FI,7893,FI19,7893,4,1,1,655,,2,1,4
2013,FI,8097,FI19,8097,4,6,1,537,,1,2,5
2013,FI,8765,FI19,8765,1,5,1,238,,1,1,3
2013,FI,8922,FI19,8922,4,3,1,355,,1,2,4
2013,FI,8965,FI19,8965,2,2,1,601,,1,1,5
2013,FI,9354,FI19,9354,2,3,1,243,567.83,1,2,5
2013,FI,9750,FI19,9750,2,6,1,877,517.91,1,2,2
2013,FI,9873,FI19,9873,1,3,1,332,,1,2,3
2013,FI,10034,FI19,10034,3,5,1,555,,1,2,4
2013,FI,10379,FI19,10379,1,4,1,355,,1,2,5
2013,FI,10499,FI19,10499,2,6,1,730,,1,1,4
2013,FI,10502,FI19,10502,2,3,1,637,560.16,1,1,5
2013,FI,10535,FI19,10535,2,6,1,508,,1,2,3
2013,FI,10834,FI19,10834,4,5,1,717,,2,1,4
2013,FI,11073,FI19,11073,1,3,1,315,,1,1,5
2013,FI,11075,FI19,11075,2,5,1,530,,1,1,6
2013,FI,11130,FI19,11130,2,6,1,508,400.25,1,2,5
2013,FI,11589,FI19,11589,5,2,1,310,,1,2,4
2013,FI,11629,FI19,11629,4,4,1,261,1549.66,1,1,4
2013,FI,11902,FI19,11902,4,1,1,548,,1,1,5
2013,FI,11942,FI19,11942,2,2,1,438,240.83,1,1,5
2013,FI,11991,FI19,11991,1,3,1,114,1029.08,1,1,6
2013,FI,12385,FI19,12385,3,3,1,488,299.58,1,1,4
2013,FI,12415,FI19,12415,2,4,1,428,,1,1,6
2013,FI,13192,FI19,13192,2,4,1,294,,1,2,3
2013,FI,13199,FI19,13199,4,2,1,210,27.08,1,1,5
2013,FI,13244,FI19,13244,1,1,1,393,,1,1,6
2013,FI,13357,FI19,13357,1,6,1,877,310.41,1,1,5
2013,FI,14105,FI19,14105,4,6,1,1279,639,1,2,5
2013,FI,14472,FI19,14472,2,5,,303,249.33,1,2,4
2013,FI,14486,FI19,14486,1,3,1,422,,1,1,5
2013,FI,14913,FI19,14913,2,4,1,525,,1,1,6
2013,FI,15337,FI19,15337,2,4,1,988,,1,1,3
2013,FI,15519,FI19,15519,1,3,1,243,,1,1,6
2013,FI,15769,FI19,15769,1,4,1,401,,1,1,3
2013,FI,15813,FI19,15813,3,5,1,852,265.75,1,2,4
2013,FI,15948,FI19,15948,3,2,1,774,416.66,1,2,3
2013,FI,16475,FI19,16475,3,3,1,117,,1,1,4
2013,FI,16575,FI19,16575,1,4,1,296,,1,1,5
2013,FI,16646,FI19,16646,3,3,1,416,,1,1,3
2013,FI,16987,FI19,16987,2,5,1,142,187.33,1,1,5
2013,FI,17123,FI19,17123,1,2,1,212,,1,2,4
2013,FI,17171,FI19,17171,2,3,1,434,1092.66,1,1,4
2013,FI,17316,FI19,17316,4,1,1,347,,1,1,4
2013,FI,17321,FI19,17321,1,6,1,462,,1,2,6
2013,FI,17322,FI19,17322,2,2,1,186,575.5,1,1,4
2013,FI,17462,FI19,17462,2,1,1,207,178.16,1,2,5
2013,FI,17497,FI19,17497,2,3,1,617,,1,1,4
2013,FI,17539,FI19,17539,5,6,1,238,,1,2,5
2013,FI,17782,FI19,17782,3,6,1,458,,1,1,6
2013,FI,17819,FI19,17819,2,1,1,244,,1,1,4
2013,FI,17982,FI19,17982,1,6,1,294,,1,2,6
2013,FI,18237,FI19,18237,1,4,1,295,,1,1,3
2013,FI,18259,FI19,18259,4,4,1,200,,1,2,4
2013,FI,18793,FI19,18793,4,3,1,378,,1,1,4
2013,FI,19064,FI19,19064,4,3,1,349,,1,1,4
2013,FI,19494,FI19,19494,2,3,2,126,,1,2,2
2013,FI,19502,FI19,19502,3,3,1,503,906.33,1,1,4
2013,FI,19552,FI19,19552,1,3,1,674,214.91,1,1,4
2013,FI,19591,FI19,19591,2,3,1,140,259.66,1,1,6
2013,FI,20492,FI19,20492,4,1,1,1119,0,1,1,6
2013,FI,20749,FI19,20749,1,3,1,188,,1,2,3
2013,FI,20963,FI19,20963,1,3,1,204,,1,1,4
2013,FI,21001,FI19,21001,2,4,1,285,169.16,1,1,5
2013,FI,21019,FI19,21019,1,5,1,535,,1,2,4
2013,FI,21050,FI19,21050,2,6,1,680,,2,1,5
2013,FI,21172,FI19,21172,2,1,1,593,415.25,1,1,6
