DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,HR,52,HR03,52,5,3,2,183.85,NA,1,2,1
2013,HR,66,HR03,66,1,6,1,822.07,NA,1,1,1
2013,HR,87,HR03,87,1,2,1,206.74,NA,1,1,3
2013,HR,100,HR03,100,1,5,1,265.45,NA,1,2,3
2013,HR,103,HR03,103,1,3,1,183.91,NA,1,1,2
2013,HR,117,HR03,117,1,4,1,136.27,NA,1,1,2
2013,HR,130,HR03,130,1,4,1,81.76,NA,1,2,3
2013,HR,148,HR03,148,1,3,1,140.44,NA,1,2,3
2013,HR,150,HR03,150,1,3,1,92.27,NA,2,2,3
2013,HR,151,HR03,151,1,2,1,115.22,NA,1,1,5
2013,HR,153,HR03,153,1,4,1,120.32,NA,1,2,2
2013,HR,155,HR03,155,1,1,1,150.9,NA,1,1,3
2013,HR,157,HR03,157,4,4,2,126.43,NA,1,2,1
2013,HR,177,HR03,177,1,1,1,174.61,286.74,1,2,3
2013,HR,185,HR03,185,1,3,1,65.81,NA,1,2,1
2013,HR,190,HR03,190,4,4,1,116.99,NA,1,2,2
2013,HR,203,HR03,203,4,4,1,183.91,NA,1,2,2
2013,HR,215,HR03,215,1,2,1,158.39,NA,1,1,1
2013,HR,229,HR03,229,1,3,1,156.88,115.27,1,2,1
2013,HR,258,HR03,258,1,2,1,155.55,NA,1,1,4
2013,HR,272,HR03,272,5,2,2,150.9,NA,1,2,2
2013,HR,273,HR03,273,4,3,1,124.97,NA,1,2,2
2013,HR,281,HR03,281,1,2,2,110.35,NA,2,2,1
2013,HR,282,HR03,282,5,4,1,156.88,NA,1,1,3
2013,HR,295,HR03,295,1,4,1,164.86,NA,1,2,1
2013,HR,343,HR03,343,4,2,1,81.76,NA,1,1,2
2013,HR,349,HR03,349,1,3,1,141.81,NA,1,2,1
2013,HR,361,HR03,361,5,5,1,185.2,NA,1,1,3
2013,HR,362,HR03,362,1,4,1,206.74,NA,1,1,5
2013,HR,377,HR03,377,5,2,1,30.58,NA,1,2,1
2013,HR,383,HR03,383,1,2,1,206.74,NA,1,2,3
2013,HR,385,HR03,385,5,4,1,105.69,NA,1,1,1
2013,HR,435,HR03,435,1,1,1,162.46,NA,2,1,1
2013,HR,443,HR03,443,4,4,1,124.31,NA,1,1,3
2013,HR,463,HR03,463,1,3,1,102.37,NA,1,2,3
2013,HR,467,HR03,467,1,5,1,206.74,NA,1,1,3
2013,HR,516,HR03,516,1,6,2,100.91,NA,1,2,2
2013,HR,537,HR03,537,1,2,1,140.7,NA,1,2,3
2013,HR,542,HR03,542,1,5,1,183.91,NA,1,1,3
2013,HR,543,HR03,543,5,2,1,141.81,NA,1,2,1
2013,HR,544,HR03,544,1,5,1,95.95,113.75,1,2,1
2013,HR,584,HR03,584,1,3,1,27.92,NA,2,2,2
2013,HR,589,HR03,589,4,5,1,124.97,NA,1,1,2
2013,HR,600,HR03,600,1,4,1,86.42,NA,1,2,1
2013,HR,625,HR03,625,1,5,1,55.62,NA,1,2,3
2013,HR,662,HR03,662,5,6,1,126.3,NA,1,1,4
2013,HR,672,HR03,672,1,2,1,84.64,NA,1,1,2
2013,HR,707,HR03,707,1,4,1,157.77,NA,2,2,3
2013,HR,729,HR03,729,1,2,1,111.9,NA,1,2,3
2013,HR,753,HR03,753,1,3,1,111.9,NA,1,1,3
2013,HR,757,HR03,757,1,2,2,388.43,NA,1,1,3
2013,HR,759,HR03,759,1,3,1,284.51,NA,1,2,5
2013,HR,782,HR03,782,1,4,1,104.63,NA,2,2,2
2013,HR,821,HR03,821,1,4,1,84.2,NA,1,1,1
2013,HR,829,HR03,829,1,2,1,80.88,NA,1,1,5
2013,HR,845,HR03,845,5,4,1,124.31,NA,1,2,3
2013,HR,853,HR03,853,1,4,1,388.43,NA,1,1,2
2013,HR,854,HR03,854,1,3,1,37.23,NA,1,2,3
2013,HR,880,HR03,880,5,3,1,126.43,NA,1,1,1
2013,HR,890,HR03,890,1,2,1,134.41,NA,1,1,1
2013,HR,893,HR03,893,1,4,1,136.94,NA,2,2,1
2013,HR,901,HR03,901,1,3,1,47.33,NA,1,1,3
2013,HR,931,HR03,931,1,4,2,105.03,NA,1,1,1
2013,HR,977,HR03,977,1,3,1,277.73,NA,1,1,1
