DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,HU,115,HU1,115,1,2,1,68.97,,1,2,2
2013,HU,121,HU1,121,1,2,1,111.66,,1,2,1
2013,HU,152,HU1,152,1,3,2,99.97,,1,2,1
2013,HU,203,HU1,203,1,3,1,93.92,11.43,1,2,3
2013,HU,234,HU1,234,1,3,1,78.65,,1,2,2
2013,HU,238,HU1,238,1,2,1,62.23,,2,2,2
2013,HU,241,HU1,241,1,3,1,121.69,,2,1,2
2013,HU,259,HU1,259,1,4,2,124.96,,1,1,2
2013,HU,271,HU1,271,5,2,1,94.58,,2,1,4
2013,HU,303,HU1,303,1,2,1,106.37,,2,2,2
2013,HU,338,HU1,338,5,3,1,61.37,,1,2,2
2013,HU,353,HU1,353,1,3,1,108.41,,1,2,3
2013,HU,358,HU1,358,1,3,1,214.35,58.26,1,2,3
2013,HU,359,HU1,359,1,1,1,69,,1,2,1
2013,HU,365,HU1,365,1,2,1,115.69,99.89,1,2,3
2013,HU,367,HU1,367,1,3,1,191.8,,2,2,4
2013,HU,371,HU1,371,1,3,1,61.94,,1,2,2
2013,HU,415,HU1,415,1,4,1,111.66,,1,2,2
2013,HU,432,HU1,432,4,4,1,132.29,,1,1,2
2013,HU,445,HU1,445,1,3,1,72.03,,2,1,1
2013,HU,477,HU1,477,1,2,1,241.14,,1,2,2
2013,HU,506,HU1,506,1,3,1,151.49,187.37,2,2,1
2013,HU,544,HU1,544,1,2,1,99.97,,1,1,2
2013,HU,558,HU1,558,5,2,1,145.2,,1,1,3
2013,HU,612,HU1,612,1,4,1,130.8,,1,2,3
2013,HU,617,HU1,617,2,2,1,75.37,,2,1,1
2013,HU,643,HU1,643,1,2,2,93.34,,2,2,3
2013,HU,655,HU1,655,1,2,1,59.35,,1,2,1
2013,HU,661,HU1,661,3,3,1,132.53,71.62,1,1,2
2013,HU,668,HU1,668,2,3,1,259.29,7.05,2,2,1
2013,HU,705,HU1,705,1,3,1,147.8,,2,2,2
2013,HU,738,HU1,738,1,2,1,117.55,,1,2,2
2013,HU,800,HU1,800,1,2,1,216.08,138.29,1,1,2
2013,HU,832,HU1,832,1,3,1,243.57,80.41,2,2,2
2013,HU,835,HU1,835,1,2,1,72.6,,1,2,1
2013,HU,854,HU1,854,3,1,2,312.57,,2,2,1
2013,HU,863,HU1,863,1,2,1,159.48,,1,2,3
2013,HU,873,HU1,873,1,2,1,78.65,,2,2,2
2013,HU,904,HU1,904,1,2,1,79.52,45.05,1,2,2
2013,HU,917,HU1,917,1,2,1,179.78,,1,2,2
2013,HU,949,HU1,949,4,5,2,231.82,,2,2,3
2013,HU,1027,HU1,1027,5,3,1,63.09,,2,2,3
2013,HU,1057,HU1,1057,1,2,1,148.95,,1,1,3
2013,HU,1104,HU1,1104,1,3,1,61.37,,2,2,2
2013,HU,1116,HU1,1116,2,3,1,156.9,,2,2,4
2013,HU,1220,HU1,1220,1,3,1,57.04,,1,2,1
2013,HU,1271,HU1,1271,1,2,1,100.26,,1,2,3
2013,HU,1272,HU1,1272,4,2,2,93.37,,1,2,1
2013,HU,1275,HU1,1275,1,2,1,22.82,,1,2,2
2013,HU,1281,HU1,1281,1,2,1,52.55,,2,2,1
2013,HU,1290,HU1,1290,1,3,1,78.65,,1,1,3
2013,HU,1311,HU1,1311,1,2,1,117.55,,2,1,2
2013,HU,1362,HU1,1362,1,2,1,49.55,,1,2,2
2013,HU,1378,HU1,1378,4,2,1,147.87,,1,2,1
2013,HU,1385,HU1,1385,1,3,1,100.26,,2,2,3
2013,HU,1426,HU1,1426,1,3,1,202.25,,1,1,3
2013,HU,1450,HU1,1450,2,2,1,213.2,,2,2,3
2013,HU,1489,HU1,1489,1,1,1,141.75,,2,2,3
2013,HU,1535,HU1,1535,1,4,1,164.95,,1,2,4
2013,HU,1610,HU1,1610,1,3,1,183.52,,2,2,3
2013,HU,1636,HU1,1636,1,2,2,116.62,,1,2,3
2013,HU,1703,HU1,1703,1,3,1,139.71,,1,2,2
2013,HU,1720,HU1,1720,3,6,1,71.91,,1,2,1
2013,HU,1725,HU1,1725,1,2,1,57.04,,1,2,1
2013,HU,1759,HU1,1759,1,3,1,62.23,,1,2,1
2013,HU,1775,HU1,1775,2,4,1,141.75,,1,2,4
2013,HU,1783,HU1,1783,1,3,1,96.23,,2,2,3
2013,HU,1881,HU1,1881,1,2,1,117.89,120.88,1,2,1
2013,HU,1884,HU1,1884,2,3,1,124.46,,2,2,2
2013,HU,1928,HU1,1928,4,5,1,80.96,,1,2,3
2013,HU,1959,HU1,1959,2,2,1,334.54,,2,1,3
2013,HU,1999,HU1,1999,1,2,1,142.9,,2,2,1
2013,HU,2015,HU1,2015,1,3,2,78.65,,1,2,2
2013,HU,2021,HU1,2021,1,1,1,120.85,,2,2,2
2013,HU,2040,HU1,2040,1,4,1,62.23,,1,2,2
2013,HU,2069,HU1,2069,1,2,2,363.81,55.2,1,2,3
2013,HU,2078,HU1,2078,1,3,2,212.04,,1,1,1
2013,HU,2103,HU1,2103,1,3,1,110.01,,1,1,4
2013,HU,2148,HU1,2148,5,3,1,179.45,,2,2,3
2013,HU,2209,HU1,2209,1,3,2,98.18,,1,1,2
2013,HU,2262,HU1,2262,1,3,1,95.76,,1,2,3
2013,HU,2294,HU1,2294,1,4,1,105.1,6.12,1,2,3
2013,HU,2326,HU1,2326,1,2,1,124.96,,2,2,2
2013,HU,2327,HU1,2327,1,3,1,107.93,,2,2,4
2013,HU,2341,HU1,2341,1,4,2,63.09,,2,2,3
2013,HU,2358,HU1,2358,2,4,1,312.57,,1,1,1
2013,HU,2375,HU1,2375,1,1,1,203.98,,1,2,2
2013,HU,2382,HU1,2382,1,2,1,89.89,,1,2,1
2013,HU,2395,HU1,2395,1,2,1,125.33,,1,1,1
2013,HU,2427,HU1,2427,1,3,1,111.66,,1,2,2
2013,HU,2434,HU1,2434,1,2,1,75.49,,1,2,1
2013,HU,2487,HU1,2487,1,2,1,120.85,,1,1,4
2013,HU,2526,HU1,2526,1,2,2,136.27,,2,1,2
2013,HU,2542,HU1,2542,1,3,1,134.26,,2,2,3
