DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,IE,47,IE01,47,3,4,2,265.5,NA,1,1,4
2013,IE,60,IE01,60,2,5,1,263.64,NA,1,2,4
2013,IE,79,IE01,79,1,4,1,294.86,548.83,1,2,2
2013,IE,93,IE01,93,3,6,1,1201.81,NA,1,2,2
2013,IE,106,IE01,106,1,6,2,280.22,NA,1,1,1
2013,IE,117,IE01,117,1,3,1,243.64,297.82,1,2,1
2013,IE,136,IE01,136,1,6,1,312.08,NA,1,1,5
2013,IE,142,IE01,142,2,5,1,290.31,NA,1,1,3
2013,IE,160,IE01,160,3,6,1,277.44,NA,1,1,4
2013,IE,167,IE01,167,2,5,2,318.39,NA,1,1,3
2013,IE,171,IE01,171,1,5,1,125.9,515.66,1,1,3
2013,IE,183,IE01,183,2,5,1,230.22,645.95,1,1,3
2013,IE,194,IE01,194,1,5,1,288.64,NA,1,1,6
2013,IE,205,IE01,205,1,5,1,1201.81,NA,1,1,3
2013,IE,245,IE01,245,1,6,1,306.81,NA,1,2,2
2013,IE,253,IE01,253,2,6,1,313.48,407.63,1,1,3
2013,IE,309,IE01,309,2,6,2,343.75,NA,1,1,5
2013,IE,326,IE01,326,2,5,2,253.97,NA,1,2,2
2013,IE,340,IE01,340,2,4,2,279.11,NA,1,2,3
2013,IE,345,IE01,345,2,6,1,257.92,NA,1,2,3
2013,IE,391,IE01,391,3,4,1,391.81,390.77,1,2,3
2013,IE,420,IE01,420,1,5,1,258.28,NA,1,2,6
2013,IE,463,IE01,463,1,5,1,242.36,NA,1,1,2
2013,IE,482,IE01,482,3,6,1,468.47,119.18,2,1,3
2013,IE,483,IE01,483,3,6,1,534.89,415.55,1,1,6
2013,IE,487,IE01,487,2,6,1,274.19,NA,1,2,3
2013,IE,489,IE01,489,1,5,1,334.32,442.17,2,2,2
2013,IE,526,IE01,526,4,6,1,452.92,NA,1,2,2
2013,IE,531,IE01,531,3,3,1,248.28,NA,1,2,3
