DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,IT,311880,ITH2,311880,2,4,1,205,251,1,2,1
2013,IT,311903,ITH2,311903,1,4,1,172,NA,1,1,4
2013,IT,311905,ITH2,311905,3,3,2,268,NA,1,1,2
2013,IT,311914,ITH2,311914,1,5,1,438,NA,1,1,4
2013,IT,311917,ITH2,311917,1,2,1,728,NA,1,1,1
2013,IT,311920,ITH2,311920,1,3,1,189,NA,1,1,1
2013,IT,311932,ITH2,311932,1,4,1,358,387,1,2,3
2013,IT,311935,ITH2,311935,1,6,1,291,NA,1,1,3
2013,IT,311966,ITH2,311966,1,3,2,55,NA,1,1,3
2013,IT,311984,ITH2,311984,1,6,1,242,NA,1,1,3
2013,IT,311989,ITH2,311989,1,2,1,29,NA,1,1,5
2013,IT,311993,ITH2,311993,1,3,1,564,NA,1,1,3
2013,IT,312002,ITH2,312002,1,5,1,300,409,1,1,4
2013,IT,312003,ITH2,312003,1,4,1,242,NA,1,2,2
2013,IT,312009,ITH2,312009,1,3,1,209,NA,1,1,5
2013,IT,312045,ITH2,312045,1,3,1,287,356,1,2,1
2013,IT,312074,ITH2,312074,1,4,1,222,NA,1,1,4
2013,IT,312076,ITH2,312076,2,2,1,105,940,1,1,4
2013,IT,312089,ITH2,312089,2,4,1,373,NA,1,1,2
2013,IT,312098,ITH2,312098,1,4,1,613,NA,1,2,5
2013,IT,312109,ITH2,312109,1,4,1,291,NA,1,1,5
2013,IT,312117,ITH2,312117,1,3,2,110,NA,2,2,4
2013,IT,312120,ITH2,312120,1,3,1,385,NA,1,1,3
2013,IT,312122,ITH2,312122,1,6,1,273,NA,1,1,5
2013,IT,312133,ITH2,312133,2,2,1,1046,331,1,2,3
2013,IT,312134,ITH2,312134,1,1,1,269,NA,1,1,4
2013,IT,312143,ITH2,312143,1,3,1,147,599,1,2,3
2013,IT,312150,ITH2,312150,1,3,2,813,NA,1,1,2
2013,IT,312160,ITH2,312160,1,3,1,467,NA,1,1,4
2013,IT,312161,ITH2,312161,1,2,1,393,NA,1,1,3
2013,IT,312205,ITH2,312205,5,3,1,656,NA,1,1,3
2013,IT,312219,ITH2,312219,1,4,1,585,846,1,1,4
2013,IT,312227,ITH2,312227,1,5,1,479,NA,1,1,4
2013,IT,312230,ITH2,312230,1,5,1,263,NA,1,1,5
2013,IT,312232,ITH2,312232,1,3,1,187,NA,1,1,3
2013,IT,312280,ITH2,312280,5,3,1,240,NA,1,1,4
2013,IT,312281,ITH2,312281,1,1,1,174,NA,1,1,4
2013,IT,312289,ITH2,312289,1,4,1,169,253,1,1,4
2013,IT,312291,ITH2,312291,1,3,1,260,NA,1,2,4
2013,IT,312317,ITH2,312317,1,6,1,656,NA,1,1,4
2013,IT,312344,ITH2,312344,1,5,1,238,NA,1,1,4
2013,IT,312348,ITH2,312348,2,3,1,223,NA,1,1,4
2013,IT,312355,ITH2,312355,1,3,1,516,NA,1,1,3
2013,IT,312404,ITH2,312404,1,3,1,283,374,1,2,2
2013,IT,312405,ITH2,312405,1,2,1,119,NA,1,2,2
2013,IT,312412,ITH2,312412,1,3,1,254,NA,1,1,3
2013,IT,312433,ITH2,312433,1,5,1,273,NA,1,1,4
2013,IT,312484,ITH2,312484,1,3,2,458,NA,1,1,5
2013,IT,312488,ITH2,312488,1,4,1,493,NA,1,1,4
2013,IT,312491,ITH2,312491,1,3,1,503,NA,1,1,3
2013,IT,312500,ITH2,312500,3,3,1,142,NA,1,2,3
2013,IT,312514,ITH2,312514,1,6,1,223,NA,1,1,2
2013,IT,312515,ITH2,312515,3,2,1,535,NA,1,1,5
2013,IT,312530,ITH2,312530,1,3,1,398,NA,1,1,3
2013,IT,312539,ITH2,312539,1,3,1,104,362,1,1,3
2013,IT,312546,ITH2,312546,1,2,1,167,NA,1,1,4
2013,IT,312561,ITH2,312561,1,3,1,458,NA,1,1,3
2013,IT,312567,ITH2,312567,5,4,1,739,NA,1,2,5
2013,IT,312569,ITH2,312569,1,4,1,875,NA,1,1,4
2013,IT,312571,ITH2,312571,1,4,1,242,NA,1,2,4
2013,IT,312640,ITH2,312640,1,2,1,274,NA,1,1,2
2013,IT,312646,ITH2,312646,1,4,1,458,NA,1,1,3
2013,IT,312658,ITH2,312658,1,3,1,195,NA,1,1,1
2013,IT,312668,ITH2,312668,1,5,1,1022,NA,1,1,3
2013,IT,312673,ITH2,312673,1,4,1,276,NA,1,1,4
2013,IT,312701,ITH2,312701,1,6,1,240,NA,1,1,4
2013,IT,312733,ITH2,312733,1,5,1,254,NA,2,1,4
2013,IT,312744,ITH2,312744,1,4,1,243,NA,1,1,3
2013,IT,312745,ITH2,312745,5,3,1,160,NA,1,1,4
2013,IT,312747,ITH2,312747,1,4,1,225,NA,1,2,2
2013,IT,312774,ITH2,312774,2,5,1,421,NA,2,2,5
2013,IT,312775,ITH2,312775,1,4,1,317,NA,1,1,3
2013,IT,312782,ITH2,312782,1,4,1,761,NA,1,1,5
2013,IT,312783,ITH2,312783,1,6,1,253,NA,1,1,1
2013,IT,312791,ITH2,312791,1,6,1,390,NA,1,1,2
2013,IT,312823,ITH2,312823,1,3,1,576,NA,1,2,2
2013,IT,312824,ITH2,312824,1,4,1,372,NA,1,1,4
2013,IT,312826,ITH2,312826,1,5,1,222,NA,1,1,4
2013,IT,312832,ITH2,312832,1,4,1,269,NA,1,1,3
2013,IT,312838,ITH2,312838,1,3,1,440,NA,1,2,4
2013,IT,312848,ITH2,312848,1,6,1,362,NA,1,1,1
2013,IT,312863,ITH2,312863,1,5,1,213,290,1,1,4
2013,IT,312877,ITH2,312877,1,6,1,843,NA,2,1,4
2013,IT,312897,ITH2,312897,1,4,1,280,NA,1,2,3
2013,IT,312898,ITH2,312898,1,3,1,230,488,1,1,3
2013,IT,312901,ITH2,312901,1,3,1,227,NA,1,1,4
2013,IT,312915,ITH2,312915,1,2,1,386,479,1,2,1
2013,IT,312921,ITH2,312921,1,2,1,273,NA,1,2,5
2013,IT,312925,ITH2,312925,1,6,1,348,NA,1,1,4
2013,IT,312947,ITH2,312947,1,4,1,268,NA,1,1,6
2013,IT,312962,ITH2,312962,5,4,1,372,NA,1,1,4
2013,IT,312965,ITH2,312965,1,4,1,358,NA,1,1,4
2013,IT,312978,ITH2,312978,2,2,1,242,281,1,1,4
2013,IT,312985,ITH2,312985,5,5,1,475,419,1,1,4
2013,IT,312986,ITH2,312986,1,3,1,160,NA,1,1,4
2013,IT,312994,ITH2,312994,5,4,1,296,NA,1,2,4
2013,IT,312995,ITH2,312995,1,3,2,317,NA,1,1,3
2013,IT,312996,ITH2,312996,2,2,1,700,NA,1,1,3
2013,IT,313004,ITH2,313004,1,4,1,384,415,1,1,4
2013,IT,313005,ITH2,313005,1,3,1,173,NA,1,1,3
2013,IT,313008,ITH2,313008,1,4,2,680,NA,2,1,3
2013,IT,313014,ITH2,313014,1,3,1,233,NA,1,1,3
2013,IT,313023,ITH2,313023,1,3,1,158,NA,1,1,5
2013,IT,313032,ITH2,313032,4,6,1,320,NA,1,1,4
2013,IT,313036,ITH2,313036,1,5,1,506,NA,1,1,4
2013,IT,313063,ITH2,313063,1,4,1,388,NA,1,1,3
2013,IT,313067,ITH2,313067,1,5,1,160,NA,2,1,4
2013,IT,313069,ITH2,313069,1,6,1,460,NA,1,1,4
2013,IT,313078,ITH2,313078,1,3,1,380,NA,1,1,4
2013,IT,313085,ITH2,313085,1,3,1,276,NA,1,2,4
2013,IT,313098,ITH2,313098,1,6,1,595,NA,1,2,4
2013,IT,313111,ITH2,313111,3,4,1,232,NA,1,1,4
2013,IT,313123,ITH2,313123,1,4,1,253,NA,1,1,3
2013,IT,313131,ITH2,313131,1,6,1,513,NA,1,1,3
2013,IT,313150,ITH2,313150,1,3,1,43,NA,1,2,4
2013,IT,313152,ITH2,313152,1,5,2,88,NA,1,1,4
2013,IT,313166,ITH2,313166,1,5,1,254,NA,1,1,4
2013,IT,313182,ITH2,313182,1,4,1,244,NA,1,1,5
2013,IT,313199,ITH2,313199,1,5,1,255,NA,1,1,5
2013,IT,313211,ITH2,313211,2,3,1,418,NA,1,1,4
2013,IT,313223,ITH2,313223,1,5,1,554,NA,1,1,4
2013,IT,313237,ITH2,313237,1,5,1,236,NA,1,1,3
2013,IT,313251,ITH2,313251,1,6,1,358,NA,1,1,4
2013,IT,313256,ITH2,313256,1,3,1,825,NA,1,1,3
2013,IT,313261,ITH2,313261,1,3,1,388,NA,2,1,4
2013,IT,313265,ITH2,313265,1,4,1,358,NA,1,1,4
2013,IT,313298,ITH2,313298,1,3,1,398,NA,1,1,4
2013,IT,313299,ITH2,313299,3,4,1,454,NA,1,1,4
2013,IT,313325,ITH2,313325,2,3,1,413,NA,1,1,4
2013,IT,313330,ITH2,313330,1,3,1,281,NA,1,1,3
2013,IT,313333,ITH2,313333,1,5,1,656,NA,1,1,3
2013,IT,313342,ITH2,313342,1,4,1,385,NA,1,1,4
2013,IT,313351,ITH2,313351,1,4,1,249,NA,1,1,2
2013,IT,313355,ITH2,313355,1,4,1,595,NA,1,1,3
2013,IT,313379,ITH2,313379,1,2,1,408,NA,1,1,4
2013,IT,313386,ITH2,313386,1,4,1,603,NA,1,2,4
2013,IT,313426,ITH2,313426,1,5,1,450,NA,1,1,5
2013,IT,313443,ITH2,313443,1,3,1,160,NA,1,1,4
2013,IT,313448,ITH2,313448,2,4,1,329,NA,2,1,4
2013,IT,313468,ITH2,313468,1,3,1,195,1348,1,1,4
2013,IT,313489,ITH2,313489,1,3,1,280,NA,1,1,3
2013,IT,313508,ITH2,313508,5,4,1,369,NA,1,1,3
2013,IT,313530,ITH2,313530,1,3,1,438,NA,1,1,5
2013,IT,313548,ITH2,313548,1,4,1,1288,NA,1,1,3
2013,IT,313558,ITH2,313558,1,4,1,460,NA,1,1,4
2013,IT,313559,ITH2,313559,1,4,1,235,NA,1,1,2
2013,IT,313587,ITH2,313587,1,4,1,259,NA,1,1,4
2013,IT,313594,ITH2,313594,2,6,1,175,345,1,1,1
2013,IT,313598,ITH2,313598,1,3,1,116,NA,1,1,5
2013,IT,313627,ITH2,313627,1,4,1,398,NA,1,1,4
2013,IT,313658,ITH2,313658,1,5,1,715,NA,1,1,4
2013,IT,313672,ITH2,313672,1,2,1,398,NA,1,1,3
2013,IT,313678,ITH2,313678,1,5,1,288,NA,1,1,2
2013,IT,313680,ITH2,313680,1,5,1,356,NA,1,1,4
2013,IT,313687,ITH2,313687,1,3,1,506,NA,1,1,4
