DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,LT,7,LT00,7,1,5,1,79.45,NA,2,1,2
2013,LT,54,LT00,54,1,3,2,115.85,NA,1,1,4
2013,LT,58,LT00,58,1,4,1,139.5,NA,1,2,3
2013,LT,88,LT00,88,2,4,1,328.04,96.54,1,1,2
2013,LT,104,LT00,104,1,4,1,161.27,NA,1,2,4
2013,LT,117,LT00,117,2,3,1,103.04,NA,1,1,2
2013,LT,193,LT00,193,1,4,1,70.33,NA,2,2,3
2013,LT,225,LT00,225,1,2,1,57.84,NA,1,2,4
2013,LT,239,LT00,239,1,3,1,134.71,325.82,1,2,4
2013,LT,257,LT00,257,1,3,2,87.13,NA,1,1,3
2013,LT,266,LT00,266,1,4,1,133.07,NA,2,2,3
2013,LT,290,LT00,290,2,6,1,170.01,NA,1,1,2
2013,LT,295,LT00,295,1,3,2,95.57,NA,1,2,1
2013,LT,301,LT00,301,2,3,1,138.42,NA,2,1,3
2013,LT,334,LT00,334,2,5,1,267.9,NA,1,1,3
2013,LT,377,LT00,377,1,4,1,211.18,121.64,1,2,3
2013,LT,379,LT00,379,1,4,2,144.81,NA,1,1,4
2013,LT,447,LT00,447,2,3,1,173.77,NA,2,2,3
2013,LT,456,LT00,456,1,5,1,120.14,NA,1,1,3
2013,LT,509,LT00,509,1,4,1,67.97,NA,2,1,2
2013,LT,515,LT00,515,1,2,1,432.69,86.89,1,1,5
2013,LT,522,LT00,522,1,3,1,148.19,NA,1,1,3
2013,LT,529,LT00,529,1,4,1,52.02,NA,1,2,3
2013,LT,531,LT00,531,2,6,1,48.27,NA,1,2,3
2013,LT,549,LT00,549,1,3,1,53.94,NA,1,1,2
2013,LT,565,LT00,565,2,5,1,184.02,NA,1,2,5
2013,LT,579,LT00,579,1,3,1,46.34,NA,1,2,3
2013,LT,594,LT00,594,1,1,2,67.58,NA,1,2,1
2013,LT,605,LT00,605,1,6,2,69.46,NA,1,1,3
2013,LT,640,LT00,640,3,2,2,122.75,NA,2,2,4
2013,LT,669,LT00,669,1,2,2,87.59,NA,1,2,2
2013,LT,698,LT00,698,1,4,2,221.08,NA,2,1,4
2013,LT,742,LT00,742,1,6,1,169.86,NA,1,1,3
2013,LT,750,LT00,750,1,1,1,112.47,NA,1,1,3
2013,LT,756,LT00,756,1,3,1,120.07,NA,1,1,2
2013,LT,760,LT00,760,1,4,1,111.6,NA,1,2,3
2013,LT,786,LT00,786,1,3,1,88.57,NA,1,1,3
