DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,MT,2,MT00,2,4,5,1,467.2,NA,1,1,4
2013,MT,12,MT00,12,1,4,1,24.18,NA,1,2,1
2013,MT,20,MT00,20,1,5,1,72.96,NA,1,2,1
2013,MT,24,MT00,24,1,6,2,167.17,NA,1,1,3
2013,MT,26,MT00,26,1,6,1,72.98,NA,1,1,3
2013,MT,44,MT00,44,4,4,2,479.28,NA,2,1,3
2013,MT,51,MT00,51,1,5,1,33.17,NA,1,1,1
2013,MT,53,MT00,53,1,6,1,514.35,NA,1,2,4
2013,MT,59,MT00,59,1,5,2,75.35,NA,1,1,4
2013,MT,63,MT00,63,4,4,1,63.24,NA,1,1,3
2013,MT,64,MT00,64,1,6,1,150.36,NA,1,1,5
2013,MT,80,MT00,80,5,6,1,247.82,NA,1,2,4
2013,MT,81,MT00,81,1,6,1,250.47,NA,1,1,4
2013,MT,83,MT00,83,4,5,1,49.26,NA,1,2,1
2013,MT,100,MT00,100,2,5,2,177.26,NA,1,2,3
2013,MT,106,MT00,106,1,6,1,99.75,NA,1,1,4
2013,MT,111,MT00,111,1,6,1,335.62,NA,1,2,4
2013,MT,116,MT00,116,1,6,1,60.79,NA,1,1,6
2013,MT,120,MT00,120,4,6,1,185.73,NA,1,1,1
2013,MT,122,MT00,122,4,5,1,122.9,NA,1,1,4
2013,MT,124,MT00,124,1,6,2,131.49,89.15,1,1,4
2013,MT,126,MT00,126,1,6,1,326,NA,1,1,3
2013,MT,133,MT00,133,1,6,1,217.03,NA,1,1,3
2013,MT,140,MT00,140,2,5,1,335.62,NA,1,1,2
2013,MT,142,MT00,142,2,5,1,107.59,NA,1,2,1
2013,MT,158,MT00,158,5,6,1,60.79,NA,1,1,4
2013,MT,164,MT00,164,4,6,1,57.63,196.24,1,1,2
2013,MT,167,MT00,167,1,5,1,194.02,NA,1,1,1
2013,MT,171,MT00,171,1,6,1,34.85,NA,2,1,4
2013,MT,172,MT00,172,1,3,2,108.33,175.39,2,1,2
2013,MT,177,MT00,177,1,6,1,204.48,NA,1,1,5
2013,MT,182,MT00,182,1,4,1,254.91,NA,1,1,4
2013,MT,185,MT00,185,1,4,1,204.09,225.02,1,1,4
2013,MT,188,MT00,188,1,6,1,84.27,50.96,1,1,4
2013,MT,191,MT00,191,1,6,1,90.59,NA,1,2,3
2013,MT,192,MT00,192,1,6,2,280.5,NA,1,1,4
2013,MT,194,MT00,194,1,6,2,290.39,NA,1,2,3
2013,MT,212,MT00,212,1,5,2,91.38,NA,1,1,4
2013,MT,217,MT00,217,1,6,1,25.3,281.49,1,1,3
2013,MT,226,MT00,226,1,6,1,175.49,NA,1,2,1
2013,MT,232,MT00,232,1,5,1,32.54,NA,1,1,3
2013,MT,249,MT00,249,1,5,1,147.74,NA,1,1,2
2013,MT,254,MT00,254,5,6,2,95.75,NA,1,1,5
2013,MT,261,MT00,261,1,6,2,378.48,NA,1,1,4
2013,MT,264,MT00,264,1,6,2,42.24,NA,1,2,3
2013,MT,272,MT00,272,2,6,1,45.09,NA,1,1,2
2013,MT,281,MT00,281,1,6,1,95.78,NA,1,1,6
2013,MT,283,MT00,283,3,5,2,194.42,NA,2,1,1
2013,MT,285,MT00,285,4,6,2,42.26,NA,2,1,4
2013,MT,299,MT00,299,1,5,2,143.95,NA,1,1,4
2013,MT,301,MT00,301,1,6,1,85.82,NA,1,1,4
