DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,NL,15,,15,2,6,1,1169,,1,1,4
2013,NL,26,,26,3,4,1,792,,1,2,3
2013,NL,83,,83,2,5,2,605,0,1,1,3
2013,NL,124,,124,2,5,1,977,,1,1,3
2013,NL,146,,146,3,6,1,358,,1,1,5
2013,NL,157,,157,3,5,1,303,,1,1,
2013,NL,165,,165,3,4,1,1278,,1,1,2
2013,NL,178,,178,3,4,1,205,0,1,2,5
2013,NL,217,,217,2,3,1,574,0,1,1,2
2013,NL,285,,285,2,4,1,1959,0,1,1,6
2013,NL,299,,299,2,5,1,1052,,1,1,5
2013,NL,366,,366,2,4,1,814,0,1,1,5
2013,NL,390,,390,3,5,1,712,,1,1,5
2013,NL,394,,394,1,4,1,970,,1,1,5
2013,NL,426,,426,2,5,1,951,,1,2,5
2013,NL,442,,442,1,1,1,1314,0,1,1,3
2013,NL,449,,449,2,5,1,277,,1,1,2
2013,NL,465,,465,2,4,1,1453,,1,1,4
2013,NL,500,,500,1,2,1,491,46,1,1,5
2013,NL,507,,507,3,4,1,1669,0,1,1,6
2013,NL,508,,508,1,5,1,1086,292,1,1,3
2013,NL,517,,517,2,3,1,563,,1,1,5
2013,NL,524,,524,3,3,1,198,0,1,2,6
2013,NL,533,,533,2,5,1,773,,1,1,4
2013,NL,553,,553,,1,1,1080,0,1,2,4
2013,NL,559,,559,2,5,2,755,,1,1,5
2013,NL,611,,611,3,2,1,487,0,1,2,2
2013,NL,627,,627,2,4,1,680,,1,1,5
2013,NL,628,,628,3,3,1,513,,2,1,4
2013,NL,650,,650,3,3,1,862,0,1,2,5
2013,NL,666,,666,3,3,2,689,,1,1,2
2013,NL,673,,673,3,4,1,1259,0,1,1,5
2013,NL,695,,695,3,4,1,979,0,1,1,3
2013,NL,708,,708,3,4,1,659,0,1,1,5
2013,NL,720,,720,3,4,1,,75,1,1,3
2013,NL,733,,733,2,6,1,1238,,1,1,5
2013,NL,734,,734,2,3,1,451,,1,1,5
2013,NL,743,,743,3,3,1,305,0,1,2,4
2013,NL,744,,744,2,3,1,1501,,1,2,2
2013,NL,747,,747,1,3,1,662,,1,1,5
2013,NL,786,,786,1,5,1,440,,1,1,5
2013,NL,807,,807,2,6,1,293,427,1,1,5
2013,NL,814,,814,1,6,1,1543,200,1,2,5
2013,NL,844,,844,2,4,1,702,0,1,2,5
2013,NL,870,,870,3,6,1,1391,,1,1,5
2013,NL,871,,871,1,6,1,1005,0,1,2,4
2013,NL,887,,887,2,4,1,472,,1,1,5
2013,NL,904,,904,3,5,1,787,0,1,2,4
2013,NL,907,,907,2,5,1,563,0,1,1,5
2013,NL,917,,917,2,5,1,685,,1,1,5
2013,NL,948,,948,2,5,1,1659,,1,1,2
2013,NL,990,,990,1,4,1,748,500,1,1,4
2013,NL,1034,,1034,2,5,1,320,0,1,1,5
2013,NL,1037,,1037,2,5,1,595,,1,1,5
2013,NL,1038,,1038,1,3,1,265,,1,1,2
2013,NL,1060,,1060,2,2,1,679,,1,1,5
2013,NL,1063,,1063,2,4,1,663,0,1,1,5
2013,NL,1077,,1077,3,5,1,802,0,1,1,3
2013,NL,1079,,1079,3,5,1,568,,1,1,5
2013,NL,1084,,1084,2,3,1,1770,,1,1,6
2013,NL,1085,,1085,2,6,1,814,0,1,1,5
2013,NL,1092,,1092,3,4,1,452,,1,1,5
2013,NL,1115,,1115,1,5,1,291,419,1,1,5
2013,NL,1125,,1125,3,5,1,827,0,1,1,5
2013,NL,1133,,1133,3,6,1,924,0,1,1,5
2013,NL,1148,,1148,3,6,1,1885,0,1,2,3
2013,NL,1158,,1158,2,5,1,983,,1,1,5
2013,NL,1163,,1163,2,5,1,275,,1,2,5
2013,NL,1187,,1187,3,4,1,585,0,1,1,2
2013,NL,1206,,1206,2,6,1,603,0,1,1,1
2013,NL,1230,,1230,2,4,1,584,,1,1,5
2013,NL,1231,,1231,2,4,1,1087,0,1,1,5
2013,NL,1233,,1233,3,6,1,1309,0,1,1,5
2013,NL,1244,,1244,2,6,1,566,0,1,1,5
2013,NL,1261,,1261,3,4,1,587,,1,1,5
2013,NL,1263,,1263,2,3,1,455,0,1,1,3
2013,NL,1276,,1276,2,4,1,255,,1,1,5
2013,NL,1312,,1312,3,5,1,406,,1,1,5
2013,NL,1314,,1314,3,4,1,1229,0,1,2,4
2013,NL,1328,,1328,2,2,1,572,0,1,1,2
2013,NL,1385,,1385,3,2,1,1198,,1,1,5
2013,NL,1405,,1405,2,2,1,1124,0,1,1,2
2013,NL,1414,,1414,3,6,1,1018,0,1,1,5
2013,NL,1440,,1440,2,6,1,1048,,1,1,4
2013,NL,1449,,1449,3,5,1,347,,1,1,6
2013,NL,1479,,1479,2,4,1,398,,1,1,4
2013,NL,1484,,1484,2,6,1,1352,0,1,1,4
2013,NL,1505,,1505,3,3,1,574,0,1,1,5
