Date,Close/Last,Volume,Open,High,Low
10/28/2024,50.63,11747680,50.50,50.93,50.33
10/25/2024,51.58,8825258,51.64,51.84,51.20
10/24/2024,51.35,8926537,51.33,51.68,51.20
10/23/2024,51.32,8185544,52.00,52.09,51.14
10/22/2024,52.10,7730820,52.14,52.61,51.93
10/21/2024,51.82,8892324,52.05,52.34,51.50
10/18/2024,51.66,9433698,51.71,51.83,51.10
10/17/2024,51.72,7643960,51.25,51.76,51.09
10/16/2024,51.26,8507367,51.82,52.04,51.25
10/15/2024,51.56,14928790,52.69,52.69,51.53
10/14/2024,53.91,10175790,54.27,54.40,53.40
10/11/2024,54.76,9436822,54.35,55.24,54.23
10/10/2024,54.57,7234168,54.34,54.87,53.83
10/09/2024,53.90,8850050,53.80,54.35,53.56
10/08/2024,54.32,13771560,54.92,54.93,53.78
10/07/2024,55.91,16170050,55.98,56.49,55.66
10/04/2024,55.76,14421460,55.13,55.80,54.36
10/03/2024,54.79,17561460,53.53,54.89,53.23
10/02/2024,53.44,22803280,54.02,54.05,52.33
10/01/2024,53.25,27900430,51.23,53.77,50.93
09/30/2024,51.54,20330670,51.16,52.06,50.35
09/27/2024,51.03,15713890,50.13,51.16,50.05
09/26/2024,49.91,22350680,50.21,50.63,49.75
09/25/2024,51.12,11819990,51.92,52.36,51.03
09/24/2024,52.40,9206785,53.00,53.11,52.26
09/23/2024,52.24,9571974,51.85,52.87,51.64
09/20/2024,51.64,11379110,51.80,51.81,50.88
09/19/2024,52.03,10834370,52.63,52.72,51.90
09/18/2024,51.75,9013517,51.80,52.58,51.63
09/17/2024,52.06,11813990,51.28,52.14,51.21
09/16/2024,51.29,9625524,51.23,51.91,50.98
09/13/2024,51.05,12359220,51.20,51.81,50.95
09/12/2024,50.99,11900530,50.90,51.48,50.49
09/11/2024,50.66,16988540,51.51,51.51,49.91
09/10/2024,51.39,13685540,52.29,52.31,50.85
09/09/2024,52.18,11129120,52.15,52.77,52.06
09/06/2024,52.03,17188010,53.72,54.13,51.79
09/05/2024,53.74,14145180,55.05,55.06,53.60
09/04/2024,54.63,10359490,55.40,55.76,54.59
09/03/2024,55.40,15361130,56.22,56.23,55.28
08/30/2024,56.98,9622330,57.04,57.11,56.37
08/29/2024,57.21,9452025,57.00,57.57,56.41
08/28/2024,56.78,7284362,56.54,56.92,56.24
08/27/2024,56.84,8436250,57.34,57.46,56.54
08/26/2024,57.37,11299570,58.14,58.47,57.23
08/23/2024,57.24,12116800,56.68,57.26,56.39
08/22/2024,56.10,8677016,56.06,56.51,55.91
08/21/2024,56.02,13709710,56.58,56.72,55.75
08/20/2024,56.17,14461100,57.36,57.37,56.15
08/19/2024,57.39,11056450,57.91,58.20,57.31
08/16/2024,57.61,8914689,57.42,57.85,57.26
08/15/2024,57.81,10305800,57.23,57.93,57.15
08/14/2024,56.94,18222250,57.74,57.74,56.64
08/13/2024,57.46,22503590,57.88,57.95,56.97
08/12/2024,58.98,6594432,58.85,59.11,58.31
08/09/2024,58.41,7596926,58.64,58.65,57.77
08/08/2024,58.53,13799520,57.50,59.31,57.10
08/07/2024,56.11,9894974,57.19,57.20,56.06
08/06/2024,56.13,8999055,56.47,56.63,56.03
08/05/2024,56.18,13395770,55.50,56.69,55.04
08/02/2024,57.67,16195900,58.62,58.79,56.45
08/01/2024,59.38,9600084,60.86,60.98,58.77
07/31/2024,60.82,5683145,61.19,61.35,60.80
07/30/2024,60.27,5804181,60.09,60.43,59.79
07/29/2024,60.18,6335322,60.69,60.79,59.58
07/26/2024,60.54,5189137,60.60,60.76,59.96
07/25/2024,60.53,5711697,59.84,61.05,59.78
07/24/2024,60.07,5568184,60.63,60.88,59.91
07/23/2024,60.41,8853099,61.23,61.23,59.97
07/22/2024,61.21,9944140,62.53,62.55,61.13
07/19/2024,63.13,10018680,63.56,64.04,62.35
07/18/2024,63.73,9040750,63.36,64.76,63.11
07/17/2024,63.15,7923800,62.50,63.47,62.48
07/16/2024,62.12,5007221,61.50,62.41,61.24
07/15/2024,62.00,8332416,61.58,62.58,61.06
07/12/2024,61.20,5098670,61.75,61.92,61.07
07/11/2024,61.48,5160215,61.17,61.75,60.81
07/10/2024,61.41,5217159,61.05,61.49,60.86
07/09/2024,61.02,5509438,60.50,61.56,60.41
07/08/2024,60.95,6330865,61.40,61.99,60.92
07/05/2024,61.79,4850650,62.35,62.39,61.46
07/03/2024,62.32,4119048,62.33,62.54,61.87
07/02/2024,62.36,6662979,63.44,63.52,61.82
07/01/2024,62.88,5321642,63.26,63.58,62.52
06/28/2024,63.03,8396987,63.20,63.43,62.77
06/27/2024,62.69,4730917,63.31,63.40,62.46
06/26/2024,62.87,5259339,63.00,63.08,62.11
06/25/2024,63.10,6212550,63.08,63.21,62.55
06/24/2024,63.25,10315120,61.38,63.65,61.33
06/21/2024,60.92,21295010,62.69,62.77,60.72
06/20/2024,62.44,11219720,61.92,62.96,61.44
06/18/2024,61.26,10427080,61.03,61.60,60.83
06/17/2024,60.20,7717187,59.88,60.38,59.48
06/14/2024,59.84,8611084,59.85,59.87,59.13
06/13/2024,59.80,9185116,60.31,60.39,59.38
06/12/2024,60.30,7426142,61.10,61.26,60.01
06/11/2024,60.61,4899118,60.39,60.73,59.96
06/10/2024,60.48,7826980,60.01,60.54,59.74
06/07/2024,59.48,6964194,59.81,60.27,59.33
06/06/2024,60.08,5026815,59.75,60.11,59.52
06/05/2024,59.84,4903049,60.15,60.15,59.45
06/04/2024,59.89,6910088,60.01,60.01,59.00
06/03/2024,60.57,7562919,62.22,62.24,60.19
05/31/2024,62.50,7976893,61.33,62.59,61.33
05/30/2024,61.21,3790466,60.99,61.55,60.92
05/29/2024,61.12,6714304,62.06,62.06,60.76
05/28/2024,62.21,6271932,62.29,62.85,61.84
05/24/2024,61.95,4616691,62.20,62.48,61.75
05/23/2024,61.96,6609158,62.87,63.11,61.67
05/22/2024,62.66,5747933,63.10,63.17,62.19
05/21/2024,63.35,4089545,63.42,64.07,63.18
05/20/2024,63.57,4840800,63.66,63.75,63.00
05/17/2024,63.41,6602590,62.98,63.55,62.67
05/16/2024,62.86,5313451,63.37,63.57,62.72
05/15/2024,63.38,6410733,62.90,63.55,62.02
05/14/2024,63.06,4711024,62.89,63.29,62.67
05/13/2024,62.91,6419779,63.77,63.92,62.51
05/10/2024,63.57,6540351,64.48,64.70,63.44
05/09/2024,64.24,4983474,63.78,64.56,63.60
05/08/2024,63.68,9079816,63.94,64.67,63.44
05/07/2024,65.07,6266332,64.93,65.45,64.87
05/06/2024,65.02,8382865,64.81,65.78,64.80
05/03/2024,64.39,6771518,64.80,64.91,63.66
05/02/2024,64.66,5504572,64.77,65.38,64.12
05/01/2024,64.45,8663371,65.68,65.99,63.69
04/30/2024,66.14,7386147,68.17,68.17,66.11
04/29/2024,68.23,5439026,67.36,68.43,67.35
04/26/2024,67.78,5426855,67.94,68.02,66.93
04/25/2024,67.88,5316654,67.24,68.02,66.99
04/24/2024,67.33,5285794,67.10,67.52,66.75
04/23/2024,67.39,5385774,66.63,67.50,66.41
04/22/2024,67.00,6274043,66.11,67.59,65.88
04/19/2024,66.63,9794542,66.17,67.62,66.12
04/18/2024,66.04,7017512,66.08,66.38,65.64
04/17/2024,65.98,7053844,66.69,67.06,65.51
04/16/2024,66.82,12447990,67.85,68.05,65.64
04/15/2024,68.34,9248606,69.24,69.44,68.25
04/12/2024,69.01,14699520,69.94,71.19,68.72
04/11/2024,69.26,7078421,69.45,69.50,68.33
04/10/2024,68.94,8136342,68.26,69.50,68.16
04/09/2024,68.55,4833478,69.00,69.18,68.07
04/08/2024,68.73,7830359,69.00,69.20,67.95
04/05/2024,69.25,12365330,68.00,69.58,67.56
04/04/2024,67.63,7475681,67.71,68.14,67.22
04/03/2024,67.71,8505861,67.59,67.88,67.05
04/02/2024,67.26,11722070,66.73,68.18,66.49
04/01/2024,66.38,8035345,65.29,66.54,64.57
03/28/2024,64.99,7159609,64.67,65.13,64.36
03/27/2024,64.20,5725656,63.09,64.21,62.93
03/26/2024,63.32,6182668,64.63,64.70,63.29
03/25/2024,64.55,6921295,64.09,64.88,64.07
03/22/2024,63.81,4927691,64.00,64.28,63.53
03/21/2024,63.93,5371058,63.86,64.30,63.74
03/20/2024,63.79,6313550,63.95,64.09,63.62
03/19/2024,64.06,6956018,63.07,64.09,62.88
03/18/2024,63.20,6797645,62.91,63.43,62.30
03/15/2024,62.65,9782647,62.36,63.01,62.21
03/14/2024,62.58,7433691,62.20,62.82,62.12
03/13/2024,62.06,8672366,61.64,62.45,61.54
03/12/2024,61.14,7124948,61.43,61.48,60.85
03/11/2024,61.52,6760641,60.69,61.56,60.28
03/08/2024,60.80,5288313,60.92,61.25,60.65
03/07/2024,61.05,7403258,60.71,61.39,60.66
03/06/2024,61.09,7919105,61.30,61.67,60.75
03/05/2024,60.58,6543015,60.43,61.14,60.01
03/04/2024,60.68,6359330,61.55,61.64,60.54
03/01/2024,61.36,7662004,60.98,61.60,60.82
02/29/2024,60.61,7574390,60.44,60.88,60.06
02/28/2024,60.26,7838173,60.50,61.29,60.23
02/27/2024,60.60,7051794,60.93,60.99,60.17
02/26/2024,60.47,8510033,59.70,60.76,59.57
02/23/2024,60.02,7789933,60.00,60.23,59.45
02/22/2024,60.53,9369267,60.19,60.87,59.82
02/21/2024,60.47,10314300,59.57,60.53,59.33
02/20/2024,59.56,16896770,60.53,60.53,59.15
02/16/2024,60.52,13471990,60.38,60.88,60.08
02/15/2024,60.11,21966020,57.45,60.14,57.38
02/14/2024,57.30,12516620,57.80,58.33,57.06
02/13/2024,57.61,10324720,57.97,58.16,57.03
02/12/2024,58.03,8878229,57.53,58.50,57.50
02/09/2024,57.47,8114632,58.21,58.35,57.24
02/08/2024,58.05,7706500,57.77,58.30,57.56
02/07/2024,57.62,8044992,57.61,58.02,57.07
02/06/2024,57.57,9089078,57.39,58.41,57.15
02/05/2024,56.98,10196940,56.82,57.34,56.07
02/02/2024,57.04,8412426,57.26,57.55,56.73
02/01/2024,57.32,11277680,57.91,58.11,56.92
01/31/2024,57.57,8941945,58.79,58.86,57.56
01/30/2024,58.90,8337535,57.75,58.99,57.75
01/29/2024,58.22,7175765,58.35,58.42,57.61
01/26/2024,58.40,7102831,58.23,58.43,57.54
01/25/2024,58.01,9611691,57.75,58.06,56.95
01/24/2024,57.31,7615364,57.09,57.44,56.79
01/23/2024,56.73,6337459,56.51,57.16,56.51
01/22/2024,56.74,8047506,56.42,56.97,55.94
01/19/2024,56.42,9597273,56.23,56.42,55.82
01/18/2024,56.47,12283520,56.19,56.65,55.53
01/17/2024,56.22,9651221,56.04,56.67,55.97
01/16/2024,56.62,13323520,57.85,57.98,56.62
01/12/2024,58.06,11245970,58.25,58.64,57.50
01/11/2024,57.13,9455311,57.33,57.68,57.02
01/10/2024,56.80,10864200,57.41,57.44,56.67
01/09/2024,57.46,8531439,58.25,58.28,57.32
01/08/2024,58.27,10343480,57.97,58.28,57.32
01/05/2024,58.94,8016804,59.50,59.57,58.59
01/04/2024,59.12,9423316,60.84,61.05,58.99
01/03/2024,60.61,7269303,59.63,60.79,59.44
01/02/2024,60.05,7456179,60.18,60.94,59.90
12/29/2023,59.71,5926178,60.00,60.30,59.55
12/28/2023,59.97,7957802,60.81,60.98,59.95
12/27/2023,61.04,5456390,61.51,61.67,60.93
12/26/2023,61.44,7126507,61.30,61.80,61.25
12/22/2023,60.81,10994160,61.34,61.94,60.70
12/21/2023,60.44,9862957,60.00,60.54,60.00
12/20/2023,60.17,11445010,60.51,61.06,60.08
12/19/2023,60.30,11375140,59.12,60.33,58.84
12/18/2023,58.97,9284671,59.69,59.89,58.97
12/15/2023,58.56,17700590,58.63,58.94,58.05
12/14/2023,58.76,19890330,58.80,59.68,58.68
12/13/2023,57.22,15845660,55.67,57.27,55.61
12/12/2023,55.55,23323180,56.52,56.72,55.12
12/11/2023,57.06,15273760,56.37,57.21,56.31
12/08/2023,56.47,8209016,56.95,56.95,56.33
12/07/2023,56.40,11624630,56.67,57.14,55.84
12/06/2023,56.48,12915460,56.90,57.31,56.33
12/05/2023,57.28,8243261,57.98,58.08,57.23
12/04/2023,57.86,11467600,58.43,58.70,57.76
12/01/2023,58.83,9722488,59.10,59.60,58.78
11/30/2023,59.15,15858670,60.61,60.72,59.01
11/29/2023,60.33,7542206,60.26,60.46,59.88
11/28/2023,60.06,6972784,59.87,60.40,59.62
11/27/2023,59.87,8319497,59.97,60.16,59.43
11/24/2023,60.16,4449192,60.00,60.84,59.99
11/22/2023,60.21,10587350,59.60,60.35,59.24
11/21/2023,60.75,6092568,60.87,61.14,60.32
11/20/2023,61.14,6138304,61.44,62.01,61.12
11/17/2023,60.96,9185996,60.85,61.57,60.56
11/16/2023,60.31,10976560,60.64,60.91,59.62
11/15/2023,61.30,6789560,61.67,62.22,61.29
11/14/2023,61.73,6766886,61.75,62.15,61.57
11/13/2023,61.61,6830593,61.09,61.65,60.85
11/10/2023,60.98,7616762,61.10,61.23,60.17
11/09/2023,60.58,7046624,61.52,61.90,60.56
11/08/2023,61.15,11345100,61.06,62.27,60.91
11/07/2023,60.20,13014700,60.84,61.01,60.02
11/06/2023,61.75,8165888,63.30,63.37,61.59
11/03/2023,63.01,8661696,62.97,63.44,62.21
11/02/2023,63.27,7404211,61.42,63.33,61.09
11/01/2023,61.36,6285062,62.15,62.48,61.30
10/31/2023,61.81,5572716,61.65,61.95,60.95
10/30/2023,61.67,7252613,62.15,62.71,61.36
10/27/2023,62.23,9197888,63.52,63.76,61.87
10/26/2023,63.27,8717533,62.92,63.67,62.57
10/25/2023,63.27,6676070,62.69,63.31,62.62
10/24/2023,62.53,7462974,63.18,63.30,62.32
10/23/2023,62.82,16032380,64.20,64.23,62.13
10/20/2023,65.18,8296664,66.27,66.74,65.09
10/19/2023,66.46,8545783,65.95,66.92,65.50
