DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,RO,41,RO11,41,1,4,1,100.91,NA,1,1,4
2013,RO,52,RO11,52,5,4,1,56.06,NA,1,1,3
2013,RO,68,RO11,68,1,4,1,100.91,NA,1,1,2
2013,RO,81,RO11,81,1,5,1,11.21,NA,1,1,4
2013,RO,92,RO11,92,1,3,1,123.34,NA,1,2,1
2013,RO,101,RO11,101,3,2,2,11.21,NA,1,1,3
2013,RO,123,RO11,123,1,4,1,78.49,NA,1,1,2
2013,RO,138,RO11,138,1,3,1,56.06,NA,1,1,4
2013,RO,145,RO11,145,1,2,1,56.06,NA,1,2,2
2013,RO,149,RO11,149,1,4,1,100.91,NA,1,2,2
2013,RO,158,RO11,158,1,2,2,56.06,NA,1,1,1
2013,RO,168,RO11,168,2,4,1,280.31,NA,1,1,3
2013,RO,212,RO11,212,1,3,1,287.04,NA,1,1,2
2013,RO,219,RO11,219,1,3,1,174.92,NA,1,2,2
2013,RO,268,RO11,268,1,1,2,123.34,NA,2,2,2
2013,RO,282,RO11,282,2,2,1,78.49,NA,1,1,3
2013,RO,295,RO11,295,1,3,1,56.06,NA,1,1,5
2013,RO,298,RO11,298,1,2,1,11.21,NA,2,1,3
2013,RO,338,RO11,338,5,3,1,168.19,NA,1,2,3
2013,RO,363,RO11,363,5,2,1,82.97,NA,2,2,2
2013,RO,421,RO11,421,1,3,1,123.34,NA,1,1,4
2013,RO,424,RO11,424,1,3,1,40.37,NA,2,2,2
2013,RO,457,RO11,457,1,3,2,123.34,NA,1,1,4
2013,RO,460,RO11,460,5,3,1,123.34,NA,2,1,2
2013,RO,519,RO11,519,1,2,1,459.71,NA,1,2,2
2013,RO,554,RO11,554,1,4,2,100.91,NA,1,1,3
2013,RO,570,RO11,570,3,2,2,78.49,NA,1,2,2
2013,RO,593,RO11,593,1,2,1,24.67,NA,1,1,4
2013,RO,649,RO11,649,1,4,1,100.91,NA,1,1,4
2013,RO,665,RO11,665,1,2,1,112.13,NA,1,1,3
2013,RO,686,RO11,686,1,2,1,78.49,NA,2,2,1
2013,RO,695,RO11,695,5,3,1,123.34,NA,1,1,5
2013,RO,704,RO11,704,1,1,1,91.94,NA,1,2,1
2013,RO,766,RO11,766,1,3,2,89.7,NA,1,2,2
2013,RO,768,RO11,768,1,3,1,179.4,NA,1,1,4
2013,RO,779,RO11,779,1,4,2,56.06,NA,1,2,1
2013,RO,784,RO11,784,1,2,1,44.85,NA,1,1,3
2013,RO,828,RO11,828,1,2,1,44.85,NA,1,2,3
2013,RO,854,RO11,854,1,4,1,56.06,NA,1,2,2
2013,RO,956,RO11,956,1,4,1,22.43,NA,1,1,2
2013,RO,977,RO11,977,1,3,1,163.7,NA,2,1,2
