DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,UK,31,UKC1,31,1,5,1,150,NA,2,1,3
2013,UK,56,UKC1,56,4,5,1,250,NA,1,1,5
2013,UK,177,UKC1,177,3,4,1,200,NA,1,2,3
2013,UK,312,UKC1,312,3,6,1,1550,NA,1,1,5
2013,UK,333,UKC1,333,1,4,1,850,0,1,1,2
2013,UK,461,UKC1,461,4,5,1,600,NA,1,2,6
2013,UK,607,UKC1,607,2,2,1,350,0,1,1,2
2013,UK,787,UKC1,787,2,1,1,700,NA,1,1,4
2013,UK,842,UKC1,842,2,6,1,1550,NA,1,1,6
2013,UK,915,UKC1,915,4,5,1,200,500,1,1,1
2013,UK,960,UKC1,960,3,6,NA,50,NA,1,1,3
2013,UK,963,UKC1,963,2,6,1,350,NA,1,2,5
2013,UK,1063,UKC1,1063,4,5,1,700,NA,1,2,2
2013,UK,1109,UKC1,1109,4,5,1,150,NA,1,2,1
2013,UK,1137,UKC1,1137,3,2,1,800,NA,1,1,2
2013,UK,1173,UKC1,1173,4,6,1,700,NA,1,2,1
2013,UK,1308,UKC1,1308,2,5,1,200,NA,1,2,4
2013,UK,1523,UKC1,1523,4,6,1,1300,NA,1,1,1
2013,UK,1541,UKC1,1541,2,1,1,250,NA,1,2,3
2013,UK,1578,UKC1,1578,4,5,1,200,NA,1,2,2
2013,UK,1592,UKC1,1592,2,4,1,700,1500,1,1,6
2013,UK,1667,UKC1,1667,4,5,1,400,NA,1,2,3
2013,UK,1812,UKC1,1812,3,3,1,1600,NA,1,1,2
2013,UK,1888,UKC1,1888,3,1,1,100,NA,1,1,3
2013,UK,1933,UKC1,1933,1,6,1,250,NA,1,1,2
2013,UK,1970,UKC1,1970,2,6,1,550,NA,1,2,3
2013,UK,2108,UKC1,2108,4,6,1,850,NA,1,2,3
2013,UK,2211,UKC1,2211,3,2,1,2700,NA,1,1,5
2013,UK,2216,UKC1,2216,3,4,1,500,NA,1,1,2
2013,UK,2229,UKC1,2229,3,5,1,200,NA,1,2,1
2013,UK,2301,UKC1,2301,4,4,1,500,NA,1,2,3
2013,UK,2436,UKC1,2436,1,6,2,650,NA,1,2,3
2013,UK,2440,UKC1,2440,2,5,1,550,NA,1,2,1
2013,UK,2483,UKC1,2483,2,2.7,1,200,350,1,2,4
2013,UK,2577,UKC1,2577,2,3,1,1100,NA,1,2,5
2013,UK,2644,UKC1,2644,1,6,1,850,0,1,2,6
2013,UK,2682,UKC1,2682,4,5,1,1500,NA,2,1,2
2013,UK,2718,UKC1,2718,4,2,1,200,400,1,1,3
2013,UK,2726,UKC1,2726,1,4,1,850,NA,1,2,4
2013,UK,2801,UKC1,2801,3,4,1,400,NA,2,2,3
2013,UK,2828,UKC1,2828,4,3,1,0,650,1,1,5
2013,UK,2968,UKC1,2968,4,6,1,400,0,1,1,6
2013,UK,3000,UKC1,3000,3,6,1,1550,NA,1,1,2
2013,UK,3002,UKC1,3002,1,3,1,200,NA,1,2,3
2013,UK,3079,UKC1,3079,2,3,1,1500,NA,1,2,3
2013,UK,3139,UKC1,3139,2,4,1,150,NA,1,2,4
2013,UK,3206,UKC1,3206,2,4,1,300,NA,1,2,4
2013,UK,3295,UKC1,3295,4,5,1,550,NA,1,2,2
2013,UK,3306,UKC1,3306,4,6,1,650,NA,1,1,1
2013,UK,3318,UKC1,3318,2,2,1,200,NA,1,1,4
2013,UK,3420,UKC1,3420,2,6,1,1200,NA,2,2,1
2013,UK,3558,UKC1,3558,4,2,2,1550,NA,1,2,1
2013,UK,3608,UKC1,3608,4,6,1,400,NA,1,2,3
2013,UK,3622,UKC1,3622,2,6,1,400,NA,2,2,3
2013,UK,3679,UKC1,3679,3,6,1,150,NA,1,2,3
2013,UK,3855,UKC1,3855,1,5,1,500,NA,1,2,1
2013,UK,3876,UKC1,3876,1,4,1,500,NA,1,2,3
2013,UK,3971,UKC1,3971,4,4,1,450,0,1,1,4
2013,UK,4083,UKC1,4083,2,5,1,200,NA,1,2,2
2013,UK,4088,UKC1,4088,3,3,1,750,NA,1,2,1
2013,UK,4118,UKC1,4118,4,3,1,150,NA,1,1,4
2013,UK,4129,UKC1,4129,2,4,1,250,NA,1,2,3
2013,UK,4263,UKC1,4263,2,6,1,850,NA,1,2,6
2013,UK,4270,UKC1,4270,1,6,2,300,NA,2,2,3
2013,UK,4285,UKC1,4285,3,4,1,1200,0,1,2,1
2013,UK,4349,UKC1,4349,2,6,1,4400,NA,1,2,1
2013,UK,4355,UKC1,4355,1,6,1,300,NA,1,1,5
2013,UK,4421,UKC1,4421,1,5,NA,900,NA,1,2,4
2013,UK,4422,UKC1,4422,3,2,1,450,NA,1,1,5
2013,UK,4462,UKC1,4462,4,4,2,450,NA,1,2,4
2013,UK,4469,UKC1,4469,1,6,1,350,NA,1,1,6
2013,UK,4477,UKC1,4477,3,5,1,150,NA,1,2,3
2013,UK,4651,UKC1,4651,1,4,1,1200,NA,1,2,2
2013,UK,4656,UKC1,4656,3,4,1,400,NA,2,2,4
2013,UK,4671,UKC1,4671,4,4,1,750,NA,1,2,3
2013,UK,4717,UKC1,4717,3,3,1,800,NA,2,2,3
2013,UK,4727,UKC1,4727,1,6,1,1550,NA,1,1,6
2013,UK,4959,UKC1,4959,3,6,1,450,0,1,1,4
2013,UK,4964,UKC1,4964,2,2,1,350,NA,1,1,5
2013,UK,4973,UKC1,4973,2,6,1,1650,NA,1,1,1
2013,UK,5049,UKC1,5049,3,6,1,1100,NA,1,2,3
2013,UK,5135,UKC1,5135,4,3,1,1800,NA,1,1,4
2013,UK,5160,UKC1,5160,3,6,1,400,950,1,1,5
2013,UK,5196,UKC1,5196,2,5,1,200,NA,1,2,1
2013,UK,5227,UKC1,5227,4,5,1,850,NA,1,2,1
2013,UK,5288,UKC1,5288,3,5,1,150,400,1,1,1
2013,UK,5445,UKC1,5445,2,6,1,650,600,1,2,3
2013,UK,5478,UKC1,5478,2,6,1,550,NA,1,2,4
2013,UK,5497,UKC1,5497,1,5,1,600,NA,2,2,3
2013,UK,5545,UKC1,5545,3,4,1,400,NA,1,1,1
2013,UK,5581,UKC1,5581,2,6,1,250,NA,1,1,6
2013,UK,5599,UKC1,5599,3,6,1,250,NA,1,1,5
2013,UK,5650,UKC1,5650,2,3,2,700,NA,1,2,2
2013,UK,5661,UKC1,5661,2,4,1,250,NA,1,2,6
2013,UK,5673,UKC1,5673,4,5,2,750,NA,1,1,3
2013,UK,5687,UKC1,5687,4,4,1,350,NA,1,2,4
2013,UK,5692,UKC1,5692,2,2,1,150,NA,1,1,4
2013,UK,5804,UKC1,5804,2,6,1,350,NA,1,1,5
2013,UK,5808,UKC1,5808,1,6,1,1550,NA,1,1,4
2013,UK,5854,UKC1,5854,3,5,1,1550,NA,1,1,5
2013,UK,5965,UKC1,5965,3,5,1,2250,NA,1,2,3
2013,UK,6091,UKC1,6091,4,4,1,1000,NA,1,2,3
2013,UK,6363,UKC1,6363,2,4,1,450,NA,1,2,3
2013,UK,6451,UKC1,6451,3,4,NA,850,NA,1,2,3
2013,UK,6458,UKC1,6458,3,6,1,1550,NA,1,1,6
2013,UK,6461,UKC1,6461,2,2,1,2700,NA,1,1,5
2013,UK,6510,UKC1,6510,1,5,1,450,NA,1,1,4
2013,UK,6520,UKC1,6520,1,4,1,2150,NA,1,2,2
2013,UK,6597,UKC1,6597,4,6,1,150,NA,1,2,1
2013,UK,6716,UKC1,6716,3,5,1,550,NA,1,2,2
2013,UK,6723,UKC1,6723,2,5,1,200,700,1,1,3
2013,UK,6785,UKC1,6785,4,4,1,650,NA,1,2,1
2013,UK,6856,UKC1,6856,2,6,1,700,NA,1,1,5
2013,UK,6862,UKC1,6862,3,6,1,250,NA,1,2,5
2013,UK,6947,UKC1,6947,3,3,2,400,NA,1,2,2
2013,UK,6986,UKC1,6986,3,6,1,150,350,1,2,2
2013,UK,7323,UKC1,7323,1,6,1,800,NA,1,2,4
2013,UK,7461,UKC1,7461,3,5,2,700,NA,1,2,2
2013,UK,7561,UKC1,7561,2,5,1,150,NA,1,2,4
2013,UK,7607,UKC1,7607,2,6,1,50,NA,1,2,2
2013,UK,7637,UKC1,7637,2,5,NA,2000,0,1,1,5
2013,UK,7654,UKC1,7654,1,2,NA,1550,NA,1,1,5
2013,UK,7738,UKC1,7738,3,5,2,750,NA,1,2,3
2013,UK,7962,UKC1,7962,2,5,NA,700,NA,1,2,6
2013,UK,7978,UKC1,7978,1,3,1,400,NA,1,2,1
2013,UK,7990,UKC1,7990,4,5,NA,350,NA,1,2,3
2013,UK,8108,UKC1,8108,4,6,2,1250,NA,1,2,6
2013,UK,8112,UKC1,8112,2,5,1,750,NA,1,1,5
2013,UK,8178,UKC1,8178,3,6,1,2250,NA,2,2,2
2013,UK,8351,UKC1,8351,4,5,1,850,150,1,2,1
2013,UK,8357,UKC1,8357,1,2,1,2700,NA,1,1,5
2013,UK,8395,UKC1,8395,2,4,NA,600,NA,1,1,4
2013,UK,8450,UKC1,8450,2,5,2,50,NA,2,1,6
2013,UK,8550,UKC1,8550,3,2,1,1550,NA,1,1,5
2013,UK,8616,UKC1,8616,3,6,1,550,NA,1,2,5
2013,UK,8617,UKC1,8617,3,6,1,1050,NA,1,2,5
2013,UK,8652,UKC1,8652,4,2,1,850,0,1,1,3
2013,UK,8816,UKC1,8816,4,5,1,1000,NA,1,2,1
2013,UK,8817,UKC1,8817,4,6,1,900,NA,1,1,4
2013,UK,8826,UKC1,8826,2,2,1,1550,NA,1,1,5
2013,UK,8843,UKC1,8843,1,6,2,1650,NA,1,1,6
2013,UK,8940,UKC1,8940,3,6,1,850,600,1,1,5
2013,UK,8950,UKC1,8950,4,5,1,500,NA,1,2,6
2013,UK,9019,UKC1,9019,1,3,NA,300,NA,1,2,2
2013,UK,9022,UKC1,9022,4,3,1,1350,NA,1,1,3
2013,UK,9048,UKC1,9048,1,2,1,300,0,1,2,5
2013,UK,9143,UKC1,9143,2,6,2,900,1550,1,2,3
2013,UK,9174,UKC1,9174,4,4,1,850,NA,1,2,2
2013,UK,9285,UKC1,9285,4,3,2,400,NA,1,1,3
2013,UK,9322,UKC1,9322,2,4,1,2100,0,2,1,4
2013,UK,9402,UKC1,9402,3,4,1,450,NA,1,1,6
2013,UK,9452,UKC1,9452,3,6,1,1650,NA,1,1,4
2013,UK,9493,UKC1,9493,1,6,1,550,0,1,1,6
2013,UK,9520,UKC1,9520,3,3,2,450,NA,1,2,3
2013,UK,9558,UKC1,9558,4,4,1,500,NA,1,1,4
2013,UK,9608,UKC1,9608,3,6,1,1550,NA,1,1,5
2013,UK,9625,UKC1,9625,4,3,1,700,NA,1,1,4
2013,UK,9670,UKC1,9670,1,2,2,500,NA,1,1,5
2013,UK,9774,UKC1,9774,3,6,1,1550,NA,1,1,5
2013,UK,9791,UKC1,9791,1,6,1,250,NA,1,1,5
2013,UK,9806,UKC1,9806,1,6,1,700,NA,1,2,3
2013,UK,9808,UKC1,9808,2,4,1,100,0,1,1,4
2013,UK,9921,UKC1,9921,2,4,1,1150,NA,1,1,5
2013,UK,10248,UKC1,10248,3,2,1,1100,NA,1,1,5
2013,UK,10458,UKC1,10458,2,6,1,350,450,1,1,6
2013,UK,10466,UKC1,10466,3,5,1,650,NA,1,2,3
2013,UK,10528,UKC1,10528,2,5,1,300,NA,1,2,4
